gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
PRELID3A,0.617463066518051,6.11565427922144,57.9815243843264,1.79358134499531e-09,1.03431386616251e-08,ENSG00000141391
DNAJC2,0.246088473558188,7.84510932794679,36.557135672566,1.8147389444755e-09,1.04597990081885e-08,ENSG00000105821
MAFF,-0.645171977956441,6.14770559472207,46.1749110571562,1.81710588460801e-09,1.04680898022845e-08,ENSG00000185022
ADNP2,0.501920462059696,6.37054425230734,36.5391283718449,1.83122843332933e-09,1.0544059937362e-08,ENSG00000101544
PTPRK,-0.563135401031467,6.33173400619684,36.5206302695635,1.84832376568806e-09,1.06370608138679e-08,ENSG00000152894
DHPS,-0.439594385224107,6.70797834123009,36.4857413771486,1.88100356614408e-09,1.08196092881165e-08,ENSG00000095059
CD247,0.527762390615763,6.27942245688089,36.4591082136397,1.90633969504819e-09,1.09597520254836e-08,ENSG00000198821
RNF181,-0.355296608662704,7.01786301381152,36.4408645382259,1.92389206243345e-09,1.10550250315366e-08,ENSG00000168894
CABLES1,0.625294068160376,6.09829188947296,62.6937875983594,1.94070498248749e-09,1.11459541378319e-08,ENSG00000134508
CNOT2,-0.316104460008223,7.25692868701529,36.4192114024381,1.94493507431465e-09,1.1164561113963e-08,ENSG00000111596
GOLGA2,-0.505360255442127,6.46575173582074,36.3965487686157,1.96720630363275e-09,1.12866584565677e-08,ENSG00000167110
C14orf93,0.570464715448251,6.20017257672862,43.7354282150088,1.98237391868949e-09,1.13678960118542e-08,ENSG00000100802
LUC7L3,-0.23305778003027,8.16126734481795,36.3780709762099,1.98555403872451e-09,1.13803437888053e-08,ENSG00000108848
CYB5R1,-0.446785800307873,6.64554977400898,36.3502660917827,2.01348702394735e-09,1.15345796280398e-08,ENSG00000159348
AC245595.1,-0.340068281383911,7.21920373706519,36.3462889510148,2.01751456330958e-09,1.15517822177513e-08,ENSG00000232527
TUT4,-0.323463115403732,7.31322110247224,36.3406036602312,2.0232859264491e-09,1.15789469719732e-08,ENSG00000134744
EIF2AK1,0.27035748247183,7.58062299307667,36.3287925603797,2.03532880229031e-09,1.16419568325829e-08,ENSG00000086232
SNAPC2,-0.577251921372609,6.25763702895852,39.1144128823889,2.05687183458334e-09,1.17592155492356e-08,ENSG00000104976
ADGRA3,-0.408176787356158,6.81302278892814,36.2724147335751,2.09381057287279e-09,1.19643286358681e-08,ENSG00000152990
C3orf14,-0.361176332294638,7.18130947898107,36.2596603110144,2.10727292491041e-09,1.20351544860385e-08,ENSG00000114405
SPTLC1,-0.385699810374877,6.86919101860337,36.1300730633332,2.249070796798e-09,1.28384932471396e-08,ENSG00000090054
RTF1,-0.295680419566783,7.38445709852238,36.0830425836888,2.30286579884565e-09,1.31389215668957e-08,ENSG00000137815
LRRC42,-0.355847259188189,6.97858683071209,36.0720412866917,2.31563447937451e-09,1.32036682222252e-08,ENSG00000116212
G6PC3,-0.341227581921936,7.19094899945022,36.0712494142079,2.31655630153996e-09,1.32036682222252e-08,ENSG00000141349
HSP90B1,-0.201979577330269,9.43205287025866,36.070127288228,2.31786320326296e-09,1.32044415126764e-08,ENSG00000166598
RANBP17,0.475092845345836,6.42857087829636,36.0419201251268,2.35095904360734e-09,1.33862183119339e-08,ENSG00000204764
BRCA2,-0.48033252614797,6.796050423994,36.0373153517747,2.35640668923875e-09,1.34104639144259e-08,ENSG00000139618
SEC63,-0.249255727625755,7.75497908396662,36.0224495977736,2.37408003923447e-09,1.35042272262005e-08,ENSG00000025796
RNASEH2C,-0.277954203314239,7.56227387427564,35.992634894136,2.40992717489708e-09,1.37012198536509e-08,ENSG00000172922
FKBP3,-0.259526622630378,7.72910870924697,35.9593366635524,2.45060448388355e-09,1.39254611649714e-08,ENSG00000100442
UBB,-0.134565186531464,10.0024198664087,35.8855624564761,2.54319628948194e-09,1.44443299584984e-08,ENSG00000170315
SRD5A3,0.278026688786458,7.55456422033037,35.8748448379357,2.55693633920230e-09,1.4515055532813e-08,ENSG00000128039
MPND,-0.655655591989048,6.13357252386781,53.2742578906105,2.66783342517736e-09,1.51369673052087e-08,ENSG00000008382
PTAR1,-0.464940144220227,6.60646448737696,35.7833571479422,2.67729476036238e-09,1.51830086158579e-08,ENSG00000188647
NAA20,0.17635507563103,8.44712469006143,35.7706272740162,2.69448598697784e-09,1.52728180076361e-08,ENSG00000173418
VCAN,-0.510034089382226,6.71791806002251,35.740421343938,2.73572213164388e-09,1.54987594533433e-08,ENSG00000038427
ARID5A,-0.549358757587138,6.33632603518535,35.7384021948344,2.73850106025541e-09,1.55067106746959e-08,ENSG00000196843
MIDN,-0.427460897535282,6.73892296991173,35.7089830374587,2.77931274273698e-09,1.57299055530204e-08,ENSG00000167470
DCAF6,-0.263236472193333,7.5559691178429,35.700931075844,2.79058871580882e-09,1.57857988871192e-08,ENSG00000143164
AMPD2,-0.415813288718459,6.76269604483435,35.6998551937463,2.79209885129034e-09,1.57864204861822e-08,ENSG00000116337
TOX4,0.349822070754764,6.98013263121796,35.6704169283345,2.83373856630078e-09,1.60138188453509e-08,ENSG00000092203
CFL2,-0.315621592509241,7.36252488388639,35.6631424059263,2.84412377472994e-09,1.60644546274075e-08,ENSG00000165410
TP53BP2,-0.37633566588418,6.9670104916315,35.6611782426937,2.84693437741672e-09,1.60722775017507e-08,ENSG00000143514
MFSD10,-0.325677332864632,7.16485244613789,35.6034939757451,2.93073062138538e-09,1.65370655783277e-08,ENSG00000109736
VANGL2,-0.509327056396342,6.44195510136483,35.6022141851381,2.93261750910207e-09,1.65394346161164e-08,ENSG00000162738
MTERF4,0.422369561185975,6.58885473971179,35.5591450478278,2.99683262717719e-09,1.68931455193978e-08,ENSG00000122085
BIRC2,-0.464439770111638,6.59384767603223,35.5097187235252,3.07226525310093e-09,1.73097043795402e-08,ENSG00000110330
BAIAP2-DT,-0.511099247627923,6.44432047664775,35.5024254673364,3.08355597593026e-09,1.73646403959229e-08,ENSG00000226137
INO80D,-0.563128362420124,6.27076574873867,36.5131701959016,3.09299385693615e-09,1.74090927324504e-08,ENSG00000114933
TRIP12,0.432477942770587,6.59952373883567,35.4758413876384,3.12506421993630e-09,1.75808253570668e-08,ENSG00000153827
MYCBP2,0.374059273180816,6.89869330535889,35.4700700563833,3.13414929455527e-09,1.76231417191103e-08,ENSG00000005810
