,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
5700,SPSB2,ENSG00000111671,-0.73849341017709,0.000124355574446286,-0.60134865839708,0.000238699514883643,cis,Towards UnRx,Pt5,X10,1
5701,SPSB2,ENSG00000111671,-0.73849341017709,0.000124355574446286,-0.60134865839708,0.000238699514883643,cis,Towards UnRx,Pt5,X10,1
5702,SRI,ENSG00000075142,-0.618961502134224,1.9372639302697e-14,-0.513260823421241,8.88772234379079e-13,cis,Towards UnRx,Pt5,X10,1
5703,SRP68,ENSG00000167881,0.699163080366721,8.30685017122893e-08,0.0519628028242115,0.817829973963296,trans,Towards UnRx,Pt5,X10,1
5704,SRSF9,ENSG00000111786,-0.726186112808777,9.86436591323828e-25,0.177204014827412,0.00838223409346389,trans,Away from UnRx,Pt5,X10,1
5705,SSH1,ENSG00000084112,-0.664398965717976,0.000728792582180037,-0.584773516660657,0.000544558329328885,trans,Towards UnRx,Pt5,X10,1
5706,SSPN,ENSG00000123096,-1.53329987850447,3.19932285246351e-19,-0.442788459202201,0.00902897724371206,trans,Towards UnRx,Pt5,X10,1
5707,ST6GALNAC4,ENSG00000136840,-0.706701142167126,0.000192197713842745,0.233096897189986,0.201135262056774,trans,Away from UnRx,Pt5,X10,1
5708,STAG3,ENSG00000066923,-0.870087425445566,1.34509757098215e-07,-0.504231574205648,0.000647950609576225,cis,Towards UnRx,Pt5,X10,1
5709,STARD3NL,ENSG00000010270,-0.747330182350883,1.29054063663901e-05,-0.276343100261378,0.0753693695364525,cis,Towards UnRx,Pt5,X10,1
5710,STAT5B,ENSG00000173757,0.568795508540935,0.000438572562201572,0.238199539840682,0.0787824663418777,trans,Towards UnRx,Pt5,X10,1
5711,STIM1,ENSG00000167323,-0.841828844312313,8.152293970655e-10,-0.20800711271176,0.12169654619069,trans,Towards UnRx,Pt5,X10,1
5712,STOM,ENSG00000148175,-0.626084159414764,5.84574339604071e-05,-0.490365353295535,0.000130738899436164,trans,Towards UnRx,Pt5,X10,1
5713,STX4,ENSG00000103496,0.612590177133468,8.96278859256889e-05,-0.196100299012879,0.194783851849381,cis,Away from UnRx,Pt5,X10,1
5714,STYXL1,ENSG00000127952,-0.651315587646493,0.000161592324799869,-0.888193329097347,2.84503410776394e-11,cis,Towards UnRx,Pt5,X10,1
5715,SUGT1,ENSG00000165416,-1.17388226981934,7.43838303601101e-22,-0.0958186252150745,0.464274384077721,trans,Towards UnRx,Pt5,X10,1
5716,SULF2,ENSG00000196562,0.637177535824101,4.96822159845989e-05,0.452253661871031,0.000341992281590868,trans,Towards UnRx,Pt5,X10,1
5717,SUN1,ENSG00000164828,-0.70060181318251,2.47292345602736e-10,-1.16765011443047,6.76738537872303e-34,cis,Towards UnRx,Pt5,X10,1
