Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4173971108921358,2.244849505696791,0.0,0.0,200,40,SFRP1;ID2;TPM1;MEST;COL4A2;FERMT2;FN1;DST;CADM1;COL4A1;VEGFA;TGFBR3;COL1A1;GPX7;TIMP1;CALD1;APLP1;RHOB;EFEMP2;COL6A2;GADD45A;ITGAV;EMP3;SAT1;FUCA1;ITGB1;BMP1;PPIB;CDH2;VIM;SPARC;QSOX1;SLC6A8;PMP22;JUN;PCOLCE;PFN2;TPM2;CTHRC1;PRRX1,SFRP1;ID2;TPM1;MEST;COL4A2;FERMT2;FN1;DST;CADM1;COL4A1;VEGFA;TGFBR3;COL1A1;GPX7;TIMP1;CALD1;APLP1;RHOB;EFEMP2
HALLMARK_FATTY_ACID_METABOLISM,-0.4077418667568282,-2.2552611881227254,0.0,0.0,158,31,AUH;CPT1A;S100A10;ACAA1;KMT5A;GSTZ1;ETFDH;SUCLA2;PDHB;ALDH9A1;MDH2;GABARAPL1;ACAT2;APEX1;ELOVL5;MAOA;H2AFZ;HSD17B10;GLUL;G0S2;NTHL1;METAP1;ADSL;IDH3B;DHCR24;ACO2;CCDC58;HCCS;SDHC;SDHD;MIF,ETFDH;SUCLA2;PDHB;ALDH9A1;MDH2;GABARAPL1;ACAT2;APEX1;ELOVL5;MAOA;H2AFZ;HSD17B10;GLUL;G0S2;NTHL1;METAP1;ADSL;IDH3B;DHCR24;ACO2;CCDC58;HCCS;SDHC;SDHD;MIF
HALLMARK_MYC_TARGETS_V1,-0.5178658308779179,-3.608973998077031,0.0,0.0,200,65,LSM7;DEK;HSPE1;TFDP1;MYC;SNRPG;KARS;NCBP2;HSP90AB1;SF3B3;ERH;PSMC4;CLNS1A;EEF1B2;RSL1D1;CCT4;CDK2;USP1;AIMP2;CCT7;GOT2;EIF3B;PRPS2;SNRPA;RNPS1;SNRPD3;APEX1;PSMA2;COPS5;PSMD1;CCT2;RAN;HDGF;PSMD7;PPIA;MCM2;H2AFZ;EIF4A1;KPNA2;MRPL23;EIF2S1;SLC25A3;CSTF2;CTPS1;NHP2;PTGES3;TYMS;RUVBL2;CNBP;NPM1;CDC20;HDAC2;CDK4;HDDC2;VDAC1;PA2G4;C1QBP;IMPDH2;UBE2L3;CCT5;RACK1;RANBP1;PHB2;NOP16;PABPC1,KARS;NCBP2;HSP90AB1;SF3B3;ERH;PSMC4;CLNS1A;EEF1B2;RSL1D1;CCT4;CDK2;USP1;AIMP2;CCT7;GOT2;EIF3B;PRPS2;SNRPA;RNPS1;SNRPD3;APEX1;PSMA2;COPS5;PSMD1;CCT2;RAN;HDGF;PSMD7;PPIA;MCM2;H2AFZ;EIF4A1;KPNA2;MRPL23;EIF2S1;SLC25A3;CSTF2;CTPS1;NHP2;PTGES3;TYMS;RUVBL2;CNBP;NPM1;CDC20;HDAC2;CDK4;HDDC2;VDAC1;PA2G4;C1QBP;IMPDH2;UBE2L3;CCT5;RACK1;RANBP1;PHB2;NOP16;PABPC1
HALLMARK_MYC_TARGETS_V2,-0.5635411411152098,-2.9556626040591287,0.0,0.0,58,25,HSPE1;MYC;RABEPK;MRTO4;AIMP2;PLK1;NDUFAF4;TBRG4;GRWD1;DUSP2;EXOSC5;PES1;RRP12;PUS1;NPM1;CDK4;FARSA;IMP4;PA2G4;NIP7;IPO4;MYBBP1A;TFB2M;TCOF1;NOP16,TBRG4;GRWD1;DUSP2;EXOSC5;PES1;RRP12;PUS1;NPM1;CDK4;FARSA;IMP4;PA2G4;NIP7;IPO4;MYBBP1A;TFB2M;TCOF1;NOP16
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4252902580856815,2.5548393117864365,0.0,0.0,200,44,HES1;ZFP36;ID2;IER3;REL;PLK2;EGR3;IRS2;KLF10;BTG2;NR4A3;CCNL1;BIRC2;VEGFA;JUNB;TIPARP;RHOB;MAFF;NR4A1;KLF6;KLF2;GADD45A;NFIL3;MYC;SAT1;EGR1;NFAT5;FOS;PDE4B;ETS2;B4GALT5;TANK;ZBTB10;SMAD3;TSC22D1;YRDC;MARCKS;DUSP2;TNIP1;G0S2;JUN;CEBPD;DUSP1;SQSTM1,HES1;ZFP36;ID2;IER3;REL;PLK2;EGR3;IRS2;KLF10;BTG2;NR4A3;CCNL1;BIRC2;VEGFA;JUNB;TIPARP;RHOB;MAFF;NR4A1;KLF6;KLF2;GADD45A;NFIL3
HALLMARK_APOPTOSIS,0.37407067642568703,2.0798480938699098,0.0,0.002625533311453889,161,40,IER3;DNAJC3;LMNA;EGR3;TXNIP;BTG2;SOD1;H1F0;BNIP3L;PTK2;TGFBR3;TGFB2;TIMP1;TIMP2;RHOB;HSPB1;HMGB2;BRCA1;GADD45A;SAT1;CYLD;BCL10;FEZ1;CLU;MGMT;TOP2A;SLC20A1;VDAC2;DNAJA1;BAX;CDK2;DAP;BID;KRT18;DAP3;JUN;RHOT2;CCND2;PPT1;SQSTM1,IER3;DNAJC3;LMNA;EGR3;TXNIP;BTG2;SOD1;H1F0;BNIP3L;PTK2;TGFBR3;TGFB2;TIMP1;TIMP2;RHOB;HSPB1;HMGB2;BRCA1;GADD45A
HALLMARK_HYPOXIA,0.36379384263730785,1.9926744625544741,0.0,0.015753199868723335,200,46,CXCR4;AKAP12;ZFP36;TES;IER3;ANXA2;IRS2;PDK1;BNIP3L;P4HA1;ZNF292;KDM3A;VEGFA;EXT1;TIPARP;MAFF;RORA;NR3C1;KLF6;STC1;NFIL3;SAP30;DDIT4;IDS;PIM1;GPC3;CDKN1C;FOS;TMEM45A;PDK3;KLF7;RBPJ;ANKZF1;GAA;CA12;CITED2;AK4;SIAH2;JUN;HDLBP;PGM1;DUSP1;RRAGD;TPI1;MIF;GAPDH,CXCR4;AKAP12;ZFP36;TES;IER3;ANXA2;IRS2;PDK1;BNIP3L;P4HA1;ZNF292;KDM3A;VEGFA;EXT1;TIPARP;MAFF;RORA;NR3C1;KLF6;STC1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.25749522291603266,-1.9315691584303327,0.0,0.033282130056323606,200,78,NDUFC1;ATP5MF;ATP5F1E;ATP5MG;NDUFA3;COX8A;NDUFB2;ATP5ME;COX7A2;ATP5MC1;NDUFA1;NDUFB1;NDUFA2;UQCRQ;COX6B1;CPT1A;UQCR11;NDUFA7;TIMM8B;NDUFB3;NDUFS1;UQCR10;ACAA1;ATP6V1F;OPA1;NDUFC2;NDUFA4;COX6A1;ALDH6A1;ETFDH;SUCLA2;MRPL34;NDUFS7;PHYH;PDHB;VDAC2;BAX;MDH2;GOT2;ATP6V0B;HTRA2;COX7A2L;MRPL15;IMMT;PMPCA;UQCRH;COX4I1;UQCRC1;CS;HSD17B10;ATP6V0E1;COX10;SLC25A3;MRPL35;TIMM17A;SDHB;RHOT2;IDH3B;COX6C;ACO2;ATP5MC2;CYCS;HCCS;LDHB;VDAC1;NDUFS2;SDHC;SLC25A5;SDHD;TOMM22;ATP5F1B;NDUFV2;NDUFA9;ATP6V1C1;OXA1L;MRPS22;PHB2;ATP5MC3,CS;HSD17B10;ATP6V0E1;COX10;SLC25A3;MRPL35;TIMM17A;SDHB;RHOT2;IDH3B;COX6C;ACO2;ATP5MC2;CYCS;HCCS;LDHB;VDAC1;NDUFS2;SDHC;SLC25A5;SDHD;TOMM22;ATP5F1B;NDUFV2;NDUFA9;ATP6V1C1;OXA1L;MRPS22;PHB2;ATP5MC3
HALLMARK_MTORC1_SIGNALING,-0.2897420456518755,-1.8963268327569511,0.0,0.034613415258576544,200,59,CXCR4;TES;BTG2;PDK1;ATP5MC1;P4HA1;UFM1;FKBP2;TM7SF2;TUBA4A;HSPE1;STC1;NFIL3;DDIT4;CORO1A;NMT1;TCEA1;RIT1;PPA1;PSMC4;CCNG1;CTSC;CCT6A;HSPA4;LTA4H;PLK1;CACYBP;PSMD13;IMMT;PHGDH;COPS5;GOT1;ELOVL5;CD9;YKT6;AK4;PPIA;EEF1E1;SHMT2;MCM2;PSPH;NFYC;PRDX1;PSAT1;PITPNB;NUFIP1;XBP1;DHCR24;SERP1;DDX39A;SLC1A5;PGM1;RPN1;TPI1;SQSTM1;PNP;GAPDH;PSMB5;M6PR,PPA1;PSMC4;CCNG1;CTSC;CCT6A;HSPA4;LTA4H;PLK1;CACYBP;PSMD13;IMMT;PHGDH;COPS5;GOT1;ELOVL5;CD9;YKT6;AK4;PPIA;EEF1E1;SHMT2;MCM2;PSPH;NFYC;PRDX1;PSAT1;PITPNB;NUFIP1;XBP1;DHCR24;SERP1;DDX39A;SLC1A5;PGM1;RPN1;TPI1;SQSTM1;PNP;GAPDH;PSMB5;M6PR
