Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_E2F_TARGETS,0.40148747377010374,2.6291546891609663,0.0,0.0,200,76,BRCA2;SPC25;PNN;MKI67;TFRC;BRCA1;SMC1A;TOP2A;LUC7L3;LMNB1;DLGAP5;HELLS;MMS22L;TMPO;E2F8;ORC6;WEE1;BUB1B;HMGB3;NAP1L1;LBR;ANP32E;EZH2;CDKN3;CENPM;RNASEH2A;CDKN1B;DNMT1;CTCF;RBBP7;TACC3;MAD2L1;PTTG1;RANBP1;ORC2;CCNE1;SMC4;LYAR;RAD51C;MCM4;SRSF2;TIPIN;CHEK1;ILF3;MSH2;RFC3;NUP107;LIG1;SMC3;H2AFZ;XPO1;SRSF1;PSIP1;PAICS;POLD3;HNRNPD;PCNA;NASP;MRE11;NME1;PHF5A;DEK;SYNCRIP;JPT1;POP7;HMGA1;AK2;POLD2;CDK4;MCM7;USP1;NAA38;TBRG4;KIF22;CDC20;RPA3,BRCA2;SPC25;PNN;MKI67;TFRC;BRCA1;SMC1A;TOP2A;LUC7L3;LMNB1;DLGAP5;HELLS;MMS22L;TMPO;E2F8;ORC6;WEE1;BUB1B;HMGB3;NAP1L1;LBR;ANP32E;EZH2;CDKN3;CENPM;RNASEH2A;CDKN1B;DNMT1;CTCF;RBBP7;TACC3;MAD2L1;PTTG1;RANBP1;ORC2;CCNE1;SMC4;LYAR;RAD51C;MCM4;SRSF2;TIPIN;CHEK1;ILF3;MSH2;RFC3;NUP107;LIG1;SMC3;H2AFZ;XPO1;SRSF1;PSIP1;PAICS;POLD3;HNRNPD;PCNA;NASP;MRE11;NME1
HALLMARK_G2M_CHECKPOINT,0.3959219839045248,2.497238853121198,0.0,0.0,200,73,BRCA2;MKI67;SMC1A;TOP2A;PRPF4B;LMNB1;POLQ;TMPO;RBL1;NSD2;ORC6;NUSAP1;KIF11;KNL1;EXO1;FBXO5;HNRNPU;CBX1;TENT4A;BUB1;KMT5A;HMGB3;LBR;KIF15;EZH2;CDKN3;CASP8AP2;MNAT1;RBM14;CDKN1B;CTCF;TACC3;MAD2L1;PTTG1;INCENP;SMC4;CENPF;CCNA2;MAP3K20;SQLE;UPF1;CDC6;KIF20B;SRSF2;CHEK1;ILF3;NCL;H2AFZ;XPO1;SRSF1;TOP1;HNRNPD;SNRPD1;NASP;E2F4;PAFAH1B1;HMGN2;CUL3;YTHDC1;SRSF10;CUL4A;SYNCRIP;JPT1;HMGA1;MARCKS;CDK4;NOTCH2;H2AFV;PML;UCK2;KIF22;KIF5B;CDC20,BRCA2;MKI67;SMC1A;TOP2A;PRPF4B;LMNB1;POLQ;TMPO;RBL1;NSD2;ORC6;NUSAP1;KIF11;KNL1;EXO1;FBXO5;HNRNPU;CBX1;TENT4A;BUB1;KMT5A;HMGB3;LBR;KIF15;EZH2;CDKN3;CASP8AP2;MNAT1;RBM14;CDKN1B;CTCF;TACC3;MAD2L1;PTTG1;INCENP;SMC4;CENPF;CCNA2;MAP3K20;SQLE;UPF1;CDC6;KIF20B;SRSF2;CHEK1;ILF3;NCL;H2AFZ;XPO1;SRSF1;TOP1
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.46205115420051884,-2.438289041878334,0.0,0.0,200,36,IFITM3;ISG15;VAMP5;ISG20;NFKBIA;PSMA3;PLSCR1;PSME2;B2M;RBCK1;UBE2L6;SAMHD1;SECTM1;PTPN6;PARP12;IRF5;PML;NAMPT;PSMB2;ARID5B;UPP1;TAPBP;PSME1;SRI;ARL4A;BPGM;LGALS3BP;LY6E;MVP;TNFSF10;ICAM1;RTP4;CCL2;HLA-B;SOCS3;CXCL10,UBE2L6;SAMHD1;SECTM1;PTPN6;PARP12;IRF5;PML;NAMPT;PSMB2;ARID5B;UPP1;TAPBP;PSME1;SRI;ARL4A;BPGM;LGALS3BP;LY6E;MVP;TNFSF10;ICAM1;RTP4;CCL2;HLA-B;SOCS3;CXCL10
HALLMARK_MITOTIC_SPINDLE,0.3749789597197631,2.3984332157409374,0.0,0.0,199,68,FLNA;DST;BRCA2;VCL;SMC1A;TOP2A;LMNB1;DLGAP5;MYH10;NET1;NUSAP1;KIF11;ITSN1;FBXO5;BUB1;CEP250;TLK1;ARHGEF11;CENPJ;ARHGAP10;ARHGEF7;KIF15;EPB41;KNTC1;PDLIM5;STK38L;RICTOR;TUBA4A;INCENP;ALMS1;SMC4;CEP192;CD2AP;CENPF;AKAP13;KIF20B;APC;CEP57;TUBGCP2;SMC3;FARP1;TUBGCP3;TRIO;NIN;MYH9;MID1;FLNB;NF1;SOS1;CDC42BPA;KIF1B;BCL2L11;DYNLL2;SPTBN1;SPTAN1;PAFAH1B1;DYNC1H1;CLIP1;RALBP1;MARCKS;NOTCH2;ABI1;HOOK3;KIF22;ARL8A;CDC42EP1;KIF5B;FSCN1,FLNA;DST;BRCA2;VCL;SMC1A;TOP2A;LMNB1;DLGAP5;MYH10;NET1;NUSAP1;KIF11;ITSN1;FBXO5;BUB1;CEP250;TLK1;ARHGEF11;CENPJ;ARHGAP10;ARHGEF7;KIF15;EPB41;KNTC1;PDLIM5;STK38L;RICTOR;TUBA4A;INCENP;ALMS1;SMC4;CEP192;CD2AP;CENPF;AKAP13;KIF20B;APC;CEP57;TUBGCP2;SMC3;FARP1;TUBGCP3;TRIO;NIN;MYH9;MID1;FLNB;NF1;SOS1;CDC42BPA;KIF1B
HALLMARK_INFLAMMATORY_RESPONSE,-0.37719549794275103,-2.132924377467505,0.02,0.005378568473314025,200,35,MXD1;GABBR1;CXCL8;PLAUR;EDN1;BTG2;NFKBIA;SGMS2;KIF1B;ATP2C1;CD82;ADRM1;ITGB8;RHOG;IFNGR2;MET;ABI1;LYN;NAMPT;RNF144B;SLC31A2;GNAI3;TAPBP;RASGRP1;HPN;SRI;LY6E;MARCO;CD14;TNFSF10;ICAM1;CX3CL1;RTP4;CCL2;CXCL10,GNAI3;TAPBP;RASGRP1;HPN;SRI;LY6E;MARCO;CD14;TNFSF10;ICAM1;CX3CL1;RTP4;CCL2;CXCL10
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.6095182958559514,-2.107327966372742,0.0,0.007171424631085366,87,10,IL17RB;TNFRSF12A;IFNGR2;BAK1;PLA2G2A;CD9;TNFRSF1A;CD14;SOCS3;CXCL10,BAK1;PLA2G2A;CD9;TNFRSF1A;CD14;SOCS3;CXCL10
HALLMARK_BILE_ACID_METABOLISM,-0.5008543694462597,-2.091242213902698,0.0,0.01075713694662805,112,18,NPC1;PEX1;BBOX1;SCP2;PNPLA8;ALDH9A1;CAT;PRDX5;ABCA3;ABCD3;CYP27A1;OPTN;PEX6;GSTK1;PHYH;PEX7;DHCR24;SLC35B2,ABCA3;ABCD3;CYP27A1;OPTN;PEX6;GSTK1;PHYH;PEX7;DHCR24;SLC35B2
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.4609031291944641,-1.9460223095355893,0.0196078431372549,0.014342849262170733,97,18,IFITM3;ISG15;NCOA7;ISG20;PSMA3;PLSCR1;PSME2;B2M;UBE2L6;PARP12;PSME1;LGALS3BP;LY6E;PARP9;RTP4;CD47;HLA-C;CXCL10,PSME1;LGALS3BP;LY6E;PARP9;RTP4;CD47;HLA-C;CXCL10
HALLMARK_ADIPOGENESIS,-0.31372349041551617,-1.8817062972450342,0.0,0.01536733849518293,200,57,GADD45A;ITSN1;ME1;NKIRAS1;RIOK3;UBC;PTCD3;ATL2;TKT;ATP1B3;MAP4K3;HIBCH;DNAJC15;APLP2;NDUFS3;UQCRQ;ACADM;UQCR11;GHITM;SDHB;SCP2;COX8A;COQ9;PFKL;POR;ACO2;AK2;VEGFB;JAGN1;APOE;DNAJB9;ABCB8;CAT;STAT5A;DHCR7;UCP2;LPCAT3;SLC5A6;BCL2L13;PQLC3;YWHAG;ARAF;ALDH2;RNF11;MGLL;ARL4A;SLC1A5;GPAT4;DLD;PHYH;ECH1;MDH2;DRAM2;REEP6;PGM1;CPT2;C3,STAT5A;DHCR7;UCP2;LPCAT3;SLC5A6;BCL2L13;PQLC3;YWHAG;ARAF;ALDH2;RNF11;MGLL;ARL4A;SLC1A5;GPAT4;DLD;PHYH;ECH1;MDH2;DRAM2;REEP6;PGM1;CPT2;C3
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.32296298738517737,-1.9774570402193319,0.0,0.01721141911460488,200,61,CYB5A;SLC25A6;NQO2;ATP5MC3;OPA1;MTRR;NDUFB8;MTX2;FDX1;TIMM9;NDUFV2;NDUFS3;HADHA;ATP5PF;MRPS15;UQCRFS1;ATP6V1F;SLC25A5;UQCRQ;ATP5F1E;SDHA;NDUFA4;ACADM;NDUFB1;UQCR11;NDUFB2;CYCS;SLC25A3;NDUFS2;ATP5F1B;SDHB;COX6B1;COX8A;NDUFB3;ACADVL;COX7A2;POR;ACO2;IDH3B;ATP5MF;VDAC3;HTRA2;NDUFA1;NDUFV1;NDUFB4;PHB2;ECI1;ATP6V0B;NDUFB5;ATP5PB;NDUFA3;NDUFA9;ALDH6A1;COX17;OGDH;CYB5R3;DLD;PHYH;ECH1;ATP1B1;MDH2,FDX1;TIMM9;NDUFV2;NDUFS3;HADHA;ATP5PF;MRPS15;UQCRFS1;ATP6V1F;SLC25A5;UQCRQ;ATP5F1E;SDHA;NDUFA4;ACADM;NDUFB1;UQCR11;NDUFB2;CYCS;SLC25A3;NDUFS2;ATP5F1B;SDHB;COX6B1;COX8A;NDUFB3;ACADVL;COX7A2;POR;ACO2;IDH3B;ATP5MF;VDAC3;HTRA2;NDUFA1;NDUFV1;NDUFB4;PHB2;ECI1;ATP6V0B;NDUFB5;ATP5PB;NDUFA3;NDUFA9;ALDH6A1;COX17;OGDH;CYB5R3;DLD;PHYH;ECH1;ATP1B1;MDH2
