Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_E2F_TARGETS,0.37796802713243427,2.3657690573690084,0.0,0.0,200,48,AURKA;SPC25;CDCA8;DLGAP5;RRM2;CDKN3;KIF2C;BIRC5;GINS4;PTTG1;TFRC;RNASEH2A;AURKB;LIG1;NUP107;BUB1B;TOP2A;TUBG1;CKS2;PLK1;MCM5;DEPDC1;TACC3;CDCA3;HMGB3;CCNB2;CSE1L;MXD3;ASF1B;RFC1;PNN;DEK;PA2G4;PSIP1;NAA38;STMN1;UBE2S;KIF22;LUC7L3;JPT1;SRSF2;DUT;POLD3;ORC6;CDC25B;NUDT21;MRE11;CDKN1A,AURKA;SPC25;CDCA8;DLGAP5;RRM2;CDKN3;KIF2C;BIRC5;GINS4;PTTG1;TFRC;RNASEH2A;AURKB;LIG1;NUP107;BUB1B;TOP2A;TUBG1;CKS2;PLK1;MCM5;DEPDC1;TACC3;CDCA3;HMGB3;CCNB2;CSE1L;MXD3;ASF1B;RFC1;PNN;DEK;PA2G4;PSIP1;NAA38;STMN1
HALLMARK_XENOBIOTIC_METABOLISM,0.3609622102515691,1.927105010507336,0.0,0.015939990623534926,200,29,IGF1;PTGDS;CFB;NMT1;CYP2E1;TMEM97;APOE;GCNT2;ETS2;CSAD;ASL;ESR1;TPST1;ADH5;DDAH2;PDLIM5;SSR3;DHRS7;BLVRB;JUP;ALDH2;GSTO1;PGRMC1;ID2;HPRT1;EPHX1;MT2A;PDK4;NDRG2,IGF1;PTGDS;CFB;NMT1;CYP2E1;TMEM97;APOE;GCNT2;ETS2
HALLMARK_KRAS_SIGNALING_DN,-0.5297133731569083,-2.002944977513734,0.0,0.01726543425183118,200,20,H2AFY2;RGS11;YBX2;STAG3;BTG2;COQ8A;MFSD6;FGGY;VPS50;EFHD1;KLK8;DTNB;CLDN16;SERPINB2;PKP1;LYPD3;CLDN8;KLK7;KRT5;SPRR3,DTNB;CLDN16;SERPINB2;PKP1;LYPD3;CLDN8;KLK7;KRT5;SPRR3
HALLMARK_G2M_CHECKPOINT,0.32796892639586195,1.9541367919905217,0.0,0.01992498827941866,200,43,AURKA;UBE2C;CCNA2;CDKN3;NUSAP1;BCL3;KIF2C;BIRC5;PTTG1;TPX2;AURKB;NDC80;CBX1;TOP2A;CKS2;PLK1;MCM5;CENPA;PRC1;PRPF4B;TACC3;HMGB3;CCNB2;INCENP;MARCKS;YTHDC1;RBM14;DTYMK;STMN1;UBE2S;MNAT1;KIF22;PAFAH1B1;SQLE;JPT1;SRSF2;ORC6;NUP98;CDC25B;SLC12A2;MT2A;RASAL2;CCND1,AURKA;UBE2C;CCNA2;CDKN3;NUSAP1;BCL3;KIF2C;BIRC5;PTTG1;TPX2;AURKB;NDC80;CBX1;TOP2A;CKS2;PLK1;MCM5;CENPA;PRC1;PRPF4B;TACC3;HMGB3;CCNB2;INCENP;MARCKS;YTHDC1
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.4145291500881605,-2.0675889434165935,0.0,0.023020579002441574,200,41,MYBL1;KRT18;FKBP5;BHLHE40;SYNGR1;SNX24;DHRS3;SVIL;NRIP1;UGCG;HES1;SFN;KRT8;ABLIM1;RHOD;TJP3;BLVRB;CHPT1;PPIF;AKAP1;INPP5F;DLC1;RASGRP1;PMAIP1;MYB;TTC39A;PDLIM3;KLF4;INHBB;DHCR7;AMFR;PODXL;IGF1R;SLC26A2;IL6ST;SH3BP5;MUC1;CCND1;ENDOD1;KLK10;AREG,INPP5F;DLC1;RASGRP1;PMAIP1;MYB;TTC39A;PDLIM3;KLF4;INHBB;DHCR7;AMFR;PODXL;IGF1R;SLC26A2;IL6ST;SH3BP5;MUC1;CCND1;ENDOD1;KLK10;AREG
