Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.4646656610841745,-2.3150786273884423,0.0,0.0,74,31,FABP5;S100A11;CLU;JAG1;PLAUR;FAM129A;LGMN;STX5;TM7SF2;ATF3;GUSB;IDI1;ACTG1;FADS2;CXCL16;NSDHL;MVK;ECH1;HSD17B7;PCYT2;MVD;ACAT2;DHCR7;SC5D;EBP;FDPS;FDFT1;PPARG;CHKA;ALCAM;PDK3,ECH1;HSD17B7;PCYT2;MVD;ACAT2;DHCR7;SC5D;EBP;FDPS;FDFT1;PPARG;CHKA;ALCAM;PDK3
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5748690184454933,2.5242558172996303,0.0,0.0,97,27,ISG15;IFI44L;RSAD2;HERC6;MX1;PSMB9;IFI44;PARP14;NUB1;CMPK2;ADAR;LGALS3BP;CXCL10;RTP4;IFI35;HELZ2;DDX60;TRIM14;UBE2L6;IFIH1;PARP12;CASP8;PSMA3;CASP1;MVB12A;LY6E;CSF1,ISG15;IFI44L;RSAD2;HERC6;MX1;PSMB9;IFI44;PARP14;NUB1;CMPK2;ADAR;LGALS3BP;CXCL10;RTP4;IFI35;HELZ2;DDX60;TRIM14;UBE2L6;IFIH1
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.48625410301024724,2.8153794343138476,0.0,0.0,200,55,ISG15;MT2A;IFI44L;RSAD2;IFIT1;XAF1;HERC6;MX1;PSMB9;IFI44;TNFSF10;TNFAIP6;PARP14;PDE4B;MYD88;OAS3;SAMHD1;CMPK2;ADAR;LGALS3BP;TNFAIP3;TNFAIP2;CXCL10;APOL6;SSPN;RTP4;IFI35;HLA-A;C1R;HELZ2;DDX60;HLA-B;TRIM14;UBE2L6;IFIH1;ARID5B;VAMP8;PARP12;ZNFX1;AUTS2;PTPN1;CASP8;PSMA3;HLA-DMA;CASP3;CASP1;HLA-DRB1;LY6E;CCL5;SOCS3;ISOC1;ICAM1;SOCS1;UPP1;ARL4A,ISG15;MT2A;IFI44L;RSAD2;IFIT1;XAF1;HERC6;MX1;PSMB9;IFI44;TNFSF10;TNFAIP6;PARP14;PDE4B;MYD88;OAS3;SAMHD1;CMPK2;ADAR;LGALS3BP;TNFAIP3;TNFAIP2;CXCL10;APOL6;SSPN;RTP4;IFI35;HLA-A;C1R;HELZ2;DDX60;HLA-B;TRIM14;UBE2L6;IFIH1;ARID5B;VAMP8;PARP12;ZNFX1;AUTS2;PTPN1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.48844019686958623,3.3006384283543615,0.0,0.0,200,106,NDUFB2;UQCR10;COX7B;COX7A2;NDUFA1;COX6B1;COX6C;NDUFB4;ATP5F1E;COX17;COX5B;ATP5MF;COX8A;UQCRQ;COX7C;UQCRB;NDUFB3;NDUFB7;UQCR11;NDUFS6;NDUFC1;ATP5ME;NDUFA2;COX6A1;UQCRH;NDUFB1;ATP5MC1;ATP5PF;NDUFA6;NDUFA4;POLR2F;ATP5PD;NDUFA3;ATP6V1F;MGST3;TIMM10;NDUFS4;NDUFB6;TIMM8B;ATP5MC2;NDUFC2;NDUFB8;ATP5MG;MRPL15;NDUFAB1;NDUFB5;AIFM1;CYC1;PDHB;COX7A2L;FH;TCIRG1;UQCRC2;DLD;VDAC2;SDHA;ACAT1;SDHB;PDHX;UQCRC1;NDUFV1;MDH1;IDH3B;SLC25A11;POR;ATP5F1C;HSD17B10;VDAC3;NDUFA9;TIMM50;ECHS1;ATP6V0B;IDH1;ATP6AP1;ACADVL;PMPCA;SLC25A4;ECI1;RHOT2;ATP5F1A;PHYH;SLC25A5;LDHA;PRDX3;IDH3G;MDH2;ATP5F1B;SLC25A6;IDH2;ETFA;MPC1;PHB2;ATP5PB;SLC25A3;SDHC;HADHB;ATP1B1;HCCS;OXA1L;CYB5R3;LDHB;ECH1;UQCRFS1;SDHD;DLAT;OAT,NDUFB2;UQCR10;COX7B;COX7A2;NDUFA1;COX6B1;COX6C;NDUFB4;ATP5F1E;COX17;COX5B;ATP5MF;COX8A;UQCRQ;COX7C;UQCRB;NDUFB3;NDUFB7;UQCR11;NDUFS6;NDUFC1;ATP5ME;NDUFA2;COX6A1;UQCRH;NDUFB1;ATP5MC1;ATP5PF;NDUFA6;NDUFA4;POLR2F;ATP5PD;NDUFA3
HALLMARK_GLYCOLYSIS,-0.3117484402600641,-2.0582413663648067,0.0,0.00489296636085627,200,64,TXN;PMM2;MIF;PAM;FAM162A;P4HA1;DSC2;NDUFV3;SLC25A13;SOD1;COPB2;GALK1;B3GAT3;HSPA5;DLD;CITED2;B3GALT6;AKR1A1;RRAGD;PLOD1;PGK1;LHPP;AK3;GALK2;MDH1;TALDO1;SLC16A3;IDH1;GUSB;CENPA;TPBG;KIF20A;BIK;TSTA3;LDHA;B4GALT7;NSDHL;CASP6;MDH2;TPI1;GALE;STMN1;G6PD;QSOX1;CDK1;GMPPA;ALG1;SLC25A10;SDHC;CHPF;GOT1;DEPDC1;CXCR4;PC;ME1;B4GALT2;SLC37A4;B3GNT3;KDELR3;AK4;ANGPTL4;ALDH7A1;PDK3;CLDN3,CASP6;MDH2;TPI1;GALE;STMN1;G6PD;QSOX1;CDK1;GMPPA;ALG1;SLC25A10;SDHC;CHPF;GOT1;DEPDC1;CXCR4;PC;ME1;B4GALT2;SLC37A4;B3GNT3;KDELR3;AK4;ANGPTL4;ALDH7A1;PDK3;CLDN3
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.5180117766861719,-2.0836738358350257,0.0,0.007339449541284404,87,15,IL1R2;MYD88;CXCL10;IL1R1;PTPN1;BAK1;TNFRSF1A;SOCS3;CSF1;SOCS1;CD14;CXCL3;JUN;HMOX1;CXCL1,TNFRSF1A;SOCS3;CSF1;SOCS1;CD14;CXCL3;JUN;HMOX1;CXCL1
HALLMARK_KRAS_SIGNALING_UP,-0.3601588992400397,-1.9504613380600975,0.0,0.011009174311926606,200,29,INHBA;SLPI;SPARCL1;RABGAP1L;HBEGF;TNFAIP3;CXCL10;PLAUR;TRIB2;CCSER2;MAP3K1;PPP1R15A;PRELID3B;GYPC;ITGA2;ITGB2;FUCA1;ANO1;DUSP6;CXCR4;ETV4;GADD45G;ENG;TSPAN13;KCNN4;MPZL2;TMEM176B;ANGPTL4;VWA5A,ETV4;GADD45G;ENG;TSPAN13;KCNN4;MPZL2;TMEM176B;ANGPTL4;VWA5A
HALLMARK_G2M_CHECKPOINT,-0.3038545807087427,-1.8101198721110197,0.0,0.024464831804281346,200,45,MT2A;SNRPD1;CBX1;BCL3;YTHDC1;MNAT1;CKS2;PRPF4B;SLC7A5;SFPQ;RACGAP1;RPA2;HMGA1;BUB1;LMNB1;NDC80;UBE2S;DDX39A;E2F1;CENPA;KIF5B;H2AFZ;SRSF2;CHMP1A;CDC45;CDK4;HMGN2;ODC1;CCNA2;NEK2;CDKN3;STMN1;MAD2L1;DTYMK;CDK1;BIRC5;CCNB2;PBK;CDC20;MYBL2;EWSR1;PLK1;KPNA2;HSPA8;H2AFX,RACGAP1;RPA2;HMGA1;BUB1;LMNB1;NDC80;UBE2S;DDX39A;E2F1;CENPA;KIF5B;H2AFZ;SRSF2;CHMP1A;CDC45;CDK4;HMGN2;ODC1;CCNA2;NEK2;CDKN3;STMN1;MAD2L1;DTYMK;CDK1;BIRC5;CCNB2;PBK;CDC20;MYBL2;EWSR1;PLK1;KPNA2;HSPA8;H2AFX
HALLMARK_UV_RESPONSE_UP,-0.29761516916149966,-1.8402442006605997,0.0,0.026422018348623854,158,49,ATP6V1F;CDKN2B;HLA-F;BTG2;DDX21;MAOA;WIZ;POLE3;CLTB;JUNB;BID;TMBIM6;BAK1;SPR;STK25;CDC34;HYAL2;CASP3;ATF3;GGH;DGAT1;PPIF;RXRB;AQP3;SLC25A4;SIGMAR1;CCNE1;HSPA13;KLHDC3;DNAJB1;CYB5B;PSMC3;EPCAM;FOS;RPN1;EPHX1;CCND3;CYB5R1;IGFBP2;ICAM1;BSG;UROD;GPX3;CHKA;CDKN1C;PDLIM3;HMOX1;H2AFX;CXCL2,CCNE1;HSPA13;KLHDC3;DNAJB1;CYB5B;PSMC3;EPCAM;FOS;RPN1;EPHX1;CCND3;CYB5R1;IGFBP2;ICAM1;BSG;UROD;GPX3;CHKA;CDKN1C;PDLIM3;HMOX1;H2AFX;CXCL2
HALLMARK_NOTCH_SIGNALING,0.5109810767937797,1.8376130453133193,0.020833333333333332,0.0398936170212766,32,11,RBX1;MAML2;FZD7;PSENEN;JAG1;FBXW11;NOTCH3;HES1;FZD1;APH1A;PSEN2,RBX1;MAML2;FZD7;PSENEN;JAG1;FBXW11
