Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_MYC_TARGETS_V1,-0.4056242587392754,-2.5846854486708772,0.0,0.0,200,62,MRPL23;HSPD1;CCT3;SNRPA1;TFDP1;CUL1;RFC4;HSPE1;PSMD3;XRCC6;MCM4;DEK;VDAC3;TCP1;COX5A;KPNB1;PSMA7;XPO1;PSMA4;U2AF1;HNRNPR;IARS;ABCE1;SERBP1;PABPC4;PSMC4;UBE2E1;ILF2;DDX18;CDC20;PSMD14;EIF1AX;VDAC1;NPM1;IMPDH2;CLNS1A;PPIA;NCBP2;CDK4;PSMD7;RACK1;EIF4A1;CBX3;NHP2;SLC25A3;YWHAE;PRDX4;EIF2S2;SNRPB2;CSTF2;RUVBL2;RAN;PHB2;SNRPD2;XPOT;SNRPG;DDX21;C1QBP;PRPS2;PWP1;NOP16;PABPC1,EIF1AX;VDAC1;NPM1;IMPDH2;CLNS1A;PPIA;NCBP2;CDK4;PSMD7;RACK1;EIF4A1;CBX3;NHP2;SLC25A3;YWHAE;PRDX4;EIF2S2;SNRPB2;CSTF2;RUVBL2;RAN;PHB2;SNRPD2;XPOT;SNRPG;DDX21;C1QBP;PRPS2;PWP1;NOP16;PABPC1
HALLMARK_MYC_TARGETS_V2,-0.6246769010936395,-2.8608529645448604,0.0,0.0,58,20,HSPD1;HSPE1;MCM4;RABEPK;DDX18;NPM1;FARSA;CDK4;NIP7;GRWD1;UTP20;IMP4;CBX3;NDUFAF4;MYBBP1A;PUS1;IPO4;TFB2M;TCOF1;NOP16,NPM1;FARSA;CDK4;NIP7;GRWD1;UTP20;IMP4;CBX3;NDUFAF4;MYBBP1A;PUS1;IPO4;TFB2M;TCOF1;NOP16
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.3808408765910066,-3.0280450572225095,0.0,0.0,200,82,DECR1;ETFA;NNT;OPA1;GPX4;ATP5MC1;COX11;PHYH;ACAA2;NDUFA5;UQCRC2;MRPS11;NDUFS1;NDUFV1;SLC25A12;IDH2;VDAC3;IDH3A;ACADM;ETFB;IDH3G;ATP6V1F;COX5A;CYB5A;ECI1;ATP5F1A;ATP6AP1;ALDH6A1;ATP6V1H;LRPPRC;HADHA;ATP5F1D;ATP5PF;FXN;NDUFB2;ATP5F1E;COX5B;UQCRFS1;NDUFB3;ATP5MG;NDUFB6;SDHB;LDHB;ISCU;VDAC1;SDHD;ATP5PD;UQCRH;ATP5F1B;PDHA1;TOMM22;SLC25A5;UQCR10;ATP6V0E1;NDUFA9;NDUFC1;NDUFV2;COX7B;COX10;OXA1L;SLC25A3;UQCR11;TIMM10;COX6A1;COX6B1;UQCRB;NDUFB4;MRPL35;PHB2;TIMM17A;ATP5MC3;MRPS22;UQCRQ;NDUFA1;HCCS;ATP6V1C1;COX7C;COX17;NDUFB1;NDUFA3;ATP5ME;COX6C,VDAC1;SDHD;ATP5PD;UQCRH;ATP5F1B;PDHA1;TOMM22;SLC25A5;UQCR10;ATP6V0E1;NDUFA9;NDUFC1;NDUFV2;COX7B;COX10;OXA1L;SLC25A3;UQCR11;TIMM10;COX6A1;COX6B1;UQCRB;NDUFB4;MRPL35;PHB2;TIMM17A;ATP5MC3;MRPS22;UQCRQ;NDUFA1;HCCS;ATP6V1C1;COX7C;COX17;NDUFB1;NDUFA3;ATP5ME;COX6C
