Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_E2F_TARGETS,0.37718541134759453,2.3979557485477,0.0,0.0,200,96,MKI67;CENPE;AURKA;CDKN3;PTTG1;CDCA3;DLGAP5;LMNB1;HMMR;ATAD2;AURKB;MYBL2;HMGB3;DEPDC1;TOP2A;NBN;CENPM;PA2G4;CDCA8;LYAR;CCNB2;PSIP1;LUC7L3;GINS1;PLK1;CDK1;HELLS;SMC4;SPAG5;BIRC5;HNRNPD;UBE2T;ANP32E;TIMELESS;CDC20;RFC3;LIG1;H2AFZ;NAP1L1;TRIP13;RAD51AP1;MCM3;UBE2S;MRE11;SSRP1;MAD2L1;MMS22L;CSE1L;RACGAP1;KIF2C;CHEK1;TACC3;EZH2;BRCA2;ORC6;RAD21;CDK4;TK1;PNN;MSH2;KPNA2;DIAPH3;SHMT1;TFRC;ILF3;LBR;NME1;STMN1;PAICS;MCM7;MCM4;CTPS1;PRKDC;SRSF1;SRSF2;NOP56;XPO1;RFC2;NASP;SNRPB;SYNCRIP;DDX39A;RANBP1;DEK;SMC6;JPT1;CKS1B;TBRG4;SMC3;RFC1;CDKN2A;XRCC6;GSPT1;NUDT21;PRDX4;CDKN1A,MKI67;CENPE;AURKA;CDKN3;PTTG1;CDCA3;DLGAP5;LMNB1;HMMR;ATAD2;AURKB;MYBL2;HMGB3;DEPDC1;TOP2A;NBN;CENPM;PA2G4;CDCA8;LYAR;CCNB2;PSIP1;LUC7L3;GINS1;PLK1;CDK1;HELLS;SMC4;SPAG5;BIRC5;HNRNPD;UBE2T;ANP32E;TIMELESS;CDC20;RFC3;LIG1;H2AFZ;NAP1L1;TRIP13;RAD51AP1;MCM3;UBE2S;MRE11;SSRP1;MAD2L1;MMS22L;CSE1L;RACGAP1;KIF2C;CHEK1;TACC3;EZH2;BRCA2;ORC6;RAD21;CDK4;TK1;PNN;MSH2;KPNA2;DIAPH3;SHMT1;TFRC;ILF3;LBR;NME1;STMN1;PAICS;MCM7;MCM4;CTPS1;PRKDC;SRSF1;SRSF2;NOP56
HALLMARK_G2M_CHECKPOINT,0.4158963036464146,2.5311403753202977,0.0,0.0,200,90,MKI67;CENPE;AURKA;CENPF;CDKN3;PTTG1;NUSAP1;LMNB1;HMMR;UBE2C;AURKB;SQLE;NDC80;MYBL2;HMGB3;TOP2A;BUB1;KIF20B;CCNA2;TPX2;CCNB2;E2F1;DBF4;CENPA;NEK2;PLK1;CDC6;CDK1;SMC4;BIRC5;SMAD3;HNRNPD;DKC1;CCND1;TTK;PRC1;CDC20;PBK;E2F4;H2AFZ;HMGN2;MARCKS;ODC1;MCM3;UBE2S;UPF1;MAD2L1;RACGAP1;KIF2C;CHEK1;TACC3;TROAP;EZH2;BRCA2;ORC6;FBXO5;RAD21;CDK4;BUB3;HNRNPU;KPNA2;SLC7A5;ILF3;NCL;SNRPD1;CHAF1A;LBR;SMARCC1;STMN1;ATF5;SRSF1;SRSF2;KMT5A;XPO1;ATRX;TOP1;MAP3K20;CBX1;CASP8AP2;NASP;SYNCRIP;DDX39A;JPT1;CKS1B;KPNB1;EWSR1;SRSF10;GSPT1;KIF5B;MEIS2,MKI67;CENPE;AURKA;CENPF;CDKN3;PTTG1;NUSAP1;LMNB1;HMMR;UBE2C;AURKB;SQLE;NDC80;MYBL2;HMGB3;TOP2A;BUB1;KIF20B;CCNA2;TPX2;CCNB2;E2F1;DBF4;CENPA;NEK2;PLK1;CDC6;CDK1;SMC4;BIRC5;SMAD3;HNRNPD;DKC1;CCND1;TTK;PRC1;CDC20;PBK;E2F4;H2AFZ;HMGN2;MARCKS;ODC1;MCM3;UBE2S;UPF1;MAD2L1;RACGAP1;KIF2C;CHEK1;TACC3;TROAP;EZH2;BRCA2;ORC6;FBXO5;RAD21;CDK4
HALLMARK_HYPOXIA,-0.4774966297128762,-2.951885149413172,0.0,0.0,200,46,PKP1;PDK3;DDIT4;SELENBP1;SLC37A4;LXN;TPD52;CAVIN3;EXT1;VHL;GCNT2;HK1;SCARB1;EFNA1;MIF;UGP2;FAM162A;BHLHE40;TES;FOS;LDHA;PGM1;GAPDH;SLC2A1;PGK1;PRDX5;PNRC1;ERRFI1;CAVIN1;PRKCA;RORA;IER3;KDM3A;P4HA1;VEGFA;PIM1;BNIP3L;CDKN1A;EGFR;ISG20;RRAGD;CDKN1C;ERO1A;NDRG1;ZFP36;PLIN2,SLC2A1;PGK1;PRDX5;PNRC1;ERRFI1;CAVIN1;PRKCA;RORA;IER3;KDM3A;P4HA1;VEGFA;PIM1;BNIP3L;CDKN1A;EGFR;ISG20;RRAGD;CDKN1C;ERO1A;NDRG1;ZFP36;PLIN2
HALLMARK_MITOTIC_SPINDLE,0.378024199022827,2.1573602976068558,0.0,0.0056564453706460256,199,56,CENPE;AURKA;CENPF;DLGAP5;PALLD;NUSAP1;LMNB1;NDC80;DST;TOP2A;BUB1;GEMIN4;KIF20B;TPX2;CCNB2;NEK2;PLK1;CDK1;SMC4;BIRC5;TTK;PCNT;PRC1;MARCKS;SPTBN1;TUBGCP5;FARP1;RACGAP1;KIF2C;CDC42EP4;BRCA2;FBXO5;NET1;SASS6;CDK5RAP2;TUBA4A;ARFGEF1;TUBGCP3;STK38L;CDC42BPA;RALBP1;EPB41;CLIP1;ROCK1;SEPT9;SORBS2;CEP57;SMC3;YWHAE;RFC1;LRPPRC;KIF5B;ARF6;MID1IP1;HOOK3;OPHN1,CENPE;AURKA;CENPF;DLGAP5;PALLD;NUSAP1;LMNB1;NDC80;DST;TOP2A;BUB1;GEMIN4;KIF20B;TPX2;CCNB2;NEK2;PLK1;CDK1;SMC4;BIRC5;TTK;PCNT;PRC1;MARCKS;SPTBN1;TUBGCP5;FARP1;RACGAP1;KIF2C;CDC42EP4;BRCA2;FBXO5;NET1;SASS6
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.4943178279997694,-2.3576521356680646,0.0,0.009445460085313833,200,21,IFITM3;OGFR;CFB;LGALS3BP;BPGM;PNPT1;HLA-A;ARID5B;ADAR;PSMA3;NAMPT;PELI1;PSMA2;IRF1;PIM1;CDKN1A;UPP1;ISG20;SOCS3;ISG15;CXCL10,PELI1;PSMA2;IRF1;PIM1;CDKN1A;UPP1;ISG20;SOCS3;ISG15;CXCL10
HALLMARK_INFLAMMATORY_RESPONSE,-0.42956390367422953,-2.203282996130058,0.0,0.012593946780418445,200,25,ICAM4;LIF;ICOSLG;IL18;AHR;LYN;RASGRP1;PVR;CD82;IFNAR1;ATP2C1;NAMPT;CX3CL1;SELENOS;ITGB8;HPN;GNAI3;IRF1;INHBA;TIMP1;CDKN1A;SLC31A2;CXCL8;CSF3R;CXCL10,CX3CL1;SELENOS;ITGB8;HPN;GNAI3;IRF1;INHBA;TIMP1;CDKN1A;SLC31A2;CXCL8;CSF3R;CXCL10
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.36650067864476565,-2.020555750904606,0.0,0.023613650213284584,200,44,RCAN1;PLK2;SLC2A6;ID2;LIF;NR4A1;ICOSLG;HES1;SMAD3;CCND1;MAP3K8;IL18;BIRC3;MARCKS;NFAT5;TSC22D1;ZBTB10;EFNA1;MCL1;SQSTM1;BTG3;LITAF;NAMPT;BHLHE40;ETS2;FOS;YRDC;EIF1;PNRC1;IRF1;INHBA;DNAJB4;JUNB;IER3;EGR1;VEGFA;KLF4;TUBB2A;CDKN1A;BCL6;ZFP36;SOCS3;KLF2;CXCL10,EIF1;PNRC1;IRF1;INHBA;DNAJB4;JUNB;IER3;EGR1;VEGFA;KLF4;TUBB2A;CDKN1A;BCL6;ZFP36;SOCS3;KLF2;CXCL10
HALLMARK_IL2_STAT5_SIGNALING,-0.30290790773054144,-1.9047371604557097,0.0,0.0340036563071298,200,44,IFITM3;SOCS2;ITGAV;LIF;COCH;UMPS;CDC6;ST3GAL4;MAP3K8;AHR;NCS1;ODC1;IFNGR1;FURIN;POU2F1;PLEC;ALCAM;DCPS;PDCD2L;MAPKAPK2;MUC1;AHCY;CKAP4;GSTO1;HUWE1;GPX4;AHNAK;XBP1;BHLHE40;BATF;COL6A1;BMPR2;HIPK2;RORA;S100A1;P4HA1;PIM1;HOPX;CCND3;RRAGD;CDKN1C;NDRG1;PLIN2;CXCL10,RORA;S100A1;P4HA1;PIM1;HOPX;CCND3;RRAGD;CDKN1C;NDRG1;PLIN2;CXCL10
