gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
AAAS,-0.0950934927718492,7.77295632053028,3.44967156287455,0.0758518099639836,0.153868379448288,ENSG00000094914,-0.920701175684363,7.58907971893147,240.052231869575,7.64162789448638e-52,1.43109738198614e-50,ENSG00000094914,3,3,3,3,3,3,3,2,trans,TRUE,Repressed trans,deepskyblue
AADAT,-0.109674275701443,7.60950872721207,5.10255789687844,0.0711132001742839,0.146461067299398,ENSG00000109576,0.531956694099035,7.26236100068803,62.5471413308001,7.33890307894289e-10,2.12159303386128e-09,ENSG00000109576,2,2,2,2,2,2,2,3,trans,FALSE,Activated trans,coral2
AAED1,0.0355618885246773,7.69210835347975,0.412023409504945,0.623171703749429,0.734190938364147,ENSG00000158122,0.759622445494497,7.35826647234803,104.706781816043,5.79255197265155e-21,3.33414109710193e-20,ENSG00000158122,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
AARSD1,0.0232837789180809,7.7211920398287,0.20703933592725,0.649120742361182,0.75705593556775,ENSG00000266967,0.86535889271315,7.38376634941489,132.617081094023,1.83108918647014e-28,1.50634259285142e-27,ENSG00000266967,4,NA,3,3,3,3,3,NA,cis,TRUE,Activated cis,darkred
ABCB8,0.00540019624701566,7.63079286244256,0.0108142576482591,0.9378285805265,0.964101878648527,ENSG00000197150,0.562251842745467,7.29532334778932,64.9254140326175,1.76627010776489e-11,5.72776890815431e-11,ENSG00000197150,NA,3,3,2,3,2,2,3,unkn,TRUE,0,0
ABCE1,-0.0685923312760581,8.57606132115867,3.94426113761932,0.047094527035075,0.104994392577333,ENSG00000164163,0.806780207015241,8.27736092170958,254.298431522405,1.11779304214505e-54,2.2627145446388e-53,ENSG00000164163,2,2,2,2,2,2,2,3,trans,FALSE,Activated trans,coral2
ABHD13,-0.0726732706360473,7.68092689175594,1.95032285389479,0.209411798159586,0.332868515933542,ENSG00000139826,0.805782181525334,7.33150757275247,121.151183312002,2.74823641963114e-22,1.67497386116626e-21,ENSG00000139826,NA,NA,NA,2,2,2,2,4,unkn,FALSE,0,0
ABRACL,-0.0289111779570546,7.82684568311096,0.289340297686857,0.66432465219239,0.767505495402785,ENSG00000146386,-0.715410110867014,7.64215475740234,133.97712158103,3.03663122948282e-30,2.68967297101094e-29,ENSG00000146386,NA,NA,3,3,3,3,4,NA,unkn,TRUE,0,0
AC004540.1,-0.0638379263646064,7.59354052422078,1.71723771382308,0.308031770093291,0.445540048501816,ENSG00000214870,0.519829584566121,7.24897294725629,60.9183145787005,1.32679447082093e-09,3.78459930118902e-09,ENSG00000214870,NA,4,4,4,4,4,NA,4,unkn,FALSE,0,0
AC006213.2,0.0657785403428839,7.58587859046674,1.96232677277317,0.298450058334682,0.435657936058728,ENSG00000267058,0.508867084049895,7.25010934002937,58.9746145113166,5.09268216119312e-09,1.38972677697751e-08,ENSG00000267058,3,NA,NA,3,3,3,2,NA,cis,TRUE,Activated cis,darkred
AC020928.1,0.0499387026950499,7.66501236361046,0.873652587126132,0.470341816804023,0.604639074379082,ENSG00000267254,0.694042369968835,7.33283865196327,89.8061453560336,4.06463154544849e-17,1.86142353642094e-16,ENSG00000267254,4,NA,3,3,3,3,2,NA,cis,TRUE,Activated cis,darkred
AC139887.2,-0.0258271349648641,7.6854876438914,0.245203233607032,0.640503526362261,0.750204402812006,ENSG00000249592,0.697298379601101,7.34681988135436,87.1358498369572,5.82443928470607e-18,2.81020616371892e-17,ENSG00000249592,NA,NA,3,3,3,3,2,3,unkn,FALSE,0,0
ACAA1,-0.0977901066790752,7.80042781070255,3.64039546112239,0.0596104418649853,0.126582794334327,ENSG00000060971,0.866639309773266,7.45227962160358,137.961279550623,4.51365287911204e-31,4.09868801764529e-30,ENSG00000060971,2,2,2,2,2,2,3,2,cis,FALSE,Activated cis,darkred
ACAP2,0.0354524733290144,7.9373169239937,0.57859383591973,0.446905483674469,0.582618653979363,ENSG00000114331,0.739387665356376,7.62921568846024,116.302983944452,1.48552168831805e-26,1.1226157188229e-25,ENSG00000114331,NA,3,3,3,3,3,3,3,unkn,TRUE,0,0
ACBD3,-0.00960144106457461,7.81285919764777,0.0348157719424045,0.851990976550472,0.906558800660735,ENSG00000182827,-0.665045527567539,7.61978135441236,115.313093928399,2.39528965980889e-26,1.79358015424426e-25,ENSG00000182827,NA,NA,NA,4,4,4,4,3,unkn,TRUE,0,0
ACSS2,0.0640753788372076,7.59168807108426,1.8797797440227,0.29156966956959,0.428315607356337,ENSG00000131069,0.566372810690937,7.25595156347536,73.3647008438986,1.66520112549717e-11,5.40740149188123e-11,ENSG00000131069,4,4,NA,3,3,3,2,4,cis,TRUE,Activated cis,darkred
ADAM9,0.0755582807263338,7.62654595626538,2.34071946037956,0.187086809165283,0.307116316845792,ENSG00000168615,0.839013097045207,7.28651273892586,142.35760102082,4.11955630503754e-23,2.64497243020514e-22,ENSG00000168615,NA,NA,NA,2,2,2,2,NA,unkn,TRUE,0,0
ADD2,-0.0816161111306032,7.63388519376974,2.42045367957027,0.206670594837424,0.329905474729873,ENSG00000075340,-0.55869819095684,7.35571436899946,68.6240964507325,9.31902301070961e-14,3.49919796917349e-13,ENSG00000075340,3,NA,3,3,3,3,3,3,trans,TRUE,Repressed trans,deepskyblue
ADNP,-0.045563076792889,8.13000993827488,1.10754359096336,0.292675330002499,0.429450618324538,ENSG00000101126,0.659411755550245,7.82862733421498,116.460547845727,1.3767727801614e-26,1.0421822860247e-25,ENSG00000101126,4,4,NA,3,3,3,2,4,cis,FALSE,Activated cis,darkred
