gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
BPIFB1,ENSG00000125999,-1.88267052749595,2.98712985009026e-12,-0.391210662818689,0.0621704432691447,trans,Towards UnRx
BRAT1,ENSG00000106009,-0.723460194641063,0.00540945155970931,-0.894357185033805,1.01413538441299e-09,cis,Towards UnRx
BRCA1,ENSG00000012048,1.22140510278405,0.000246227211559233,0.969053837042578,3.22323497138395e-10,trans,Towards UnRx
BRCA2,ENSG00000139618,0.966174862637214,0.00372820846546117,1.08321175494418,5.01490633672393e-12,trans,Towards UnRx
C15orf39,ENSG00000167173,-1.04362801566898,5.74494364951262e-05,-0.429289323501504,0.025970011413927,trans,Towards UnRx
C19orf33,ENSG00000167644,-2.12033934921861,3.50921871097859e-21,0.958791138324861,1.18403507721242e-09,trans,Away from UnRx
C3,ENSG00000125730,-1.91769737589441,4.58695155844934e-18,-1.23854188774679,1.52918804632322e-18,trans,Towards UnRx
C3orf14,ENSG00000114405,0.814374681988154,0.00335657549922155,0.0599141959594392,0.751721953820853,trans,Towards UnRx
C4orf48,ENSG00000243449,-0.601454369049179,0.00351747821917852,-0.44493279012429,6.89142493234936e-05,trans,Towards UnRx
C6orf132,ENSG00000188112,-1.35447476786562,9.71046037803512e-11,-0.553054760848441,7.69106896180273e-05,cis,Towards UnRx
C7orf26,ENSG00000146576,-0.699449636095529,0.00670187811318272,-1.24159122213561,1.24290639316451e-17,cis,Towards UnRx
C8orf33,ENSG00000182307,-0.759355834364278,0.00025769209013007,0.217717102547407,0.126951678847853,trans,Away from UnRx
CALB2,ENSG00000172137,2.06365312795128,1.10835055056535e-11,0.891539575533092,4.31395947469864e-11,cis,Towards UnRx
CALD1,ENSG00000122786,0.808156458125299,0.000139712662085925,0.484351932225391,2.11524108855035e-06,cis,Towards UnRx
CALM2,ENSG00000143933,0.54825743298412,1.71257306570532e-05,0.096115867562303,0.184836504525007,trans,Towards UnRx
CASK,ENSG00000147044,0.783060744281118,0.006258866973262,0.680556142389918,1.48410901746942e-06,cis,Towards UnRx
CASP8AP2,ENSG00000118412,0.69251477428051,0.00343883477317539,0.629063744813088,9.19170538328612e-08,trans,Towards UnRx
CAVIN1,ENSG00000177469,1.48873708022838,5.59813792937474e-06,-0.135513616067795,0.486385795906165,trans,Away from UnRx
CC2D1A,ENSG00000132024,-0.649129379067973,0.00773878478768539,-0.0273390073156535,0.891658621518001,trans,Towards UnRx
CCDC66,ENSG00000180376,0.887522439422549,0.00335657549922155,0.517996808262024,0.000748674009748078,trans,Towards UnRx
CCL2,ENSG00000108691,1.22328240123553,0.00614730346912464,-1.27071787504623,2.93884416644692e-06,trans,Away from UnRx
CCNE1,ENSG00000105173,0.770410983434658,0.00770484388734465,0.557337967028961,0.000201235184665497,trans,Towards UnRx
CCZ1,ENSG00000122674,-0.798908954929335,0.000145142446931307,-0.960123528544849,4.44667890550189e-21,cis,Towards UnRx
CD163L1,ENSG00000177675,1.5006156860934,1.55424210399232e-07,-0.417257365836214,0.00467112692981898,cis,Away from UnRx
CD2AP,ENSG00000198087,0.636831805626906,0.0017793411854466,0.551525150738608,1.27566120873949e-07,cis,Towards UnRx
CD63,ENSG00000135404,0.59966158233683,0.000128934423067354,0.183755669994777,0.0181751830273375,trans,Towards UnRx
CDC20,ENSG00000117399,-1.01614481998051,0.00142098627148844,-0.776249612110574,0.000308951194381623,cis,Towards UnRx
CDC42EP1,ENSG00000128283,-1.07697504914021,5.08279719740617e-08,-0.760919306057441,1.01508387639549e-10,trans,Towards UnRx
CDCA7,ENSG00000144354,1.20028690559252,9.45829838045106e-05,1.3271330243943,5.70165891104746e-22,trans,Towards UnRx
CDH3,ENSG00000062038,1.21227232406363,2.00200612789716e-05,0.440622561763971,0.00460663351449271,cis,Towards UnRx
CDK16,ENSG00000102225,-0.833720137933775,0.000166952675088968,0.16612033117698,0.289084068492531,cis,Away from UnRx
CDV3,ENSG00000091527,-0.917238521818284,3.45994665302781e-08,0.239155317320854,0.0141276202477358,trans,Away from UnRx
CDYL,ENSG00000153046,-0.534808703773136,0.0088754427741901,0.432576879404522,0.000306296145548773,trans,Away from UnRx
CENPW,ENSG00000203760,0.955897863798567,0.00221539448890576,1.41034562072647,1.09616105666266e-26,trans,Towards UnRx
CENPX,ENSG00000169689,0.526318452092313,0.00770484388734465,0.242628047856018,0.0125009623922006,trans,Towards UnRx
CEP170,ENSG00000143702,0.861417086751084,0.00106291465649665,0.809986948986511,2.22547656535735e-09,cis,Towards UnRx
CEP170,ENSG00000143702,0.861417086751084,0.00106291465649665,0.809986948986511,2.22547656535735e-09,cis,Towards UnRx
CEP57L1,ENSG00000183137,0.841933718240048,0.00635028476860547,0.21771268089337,0.211915520496153,trans,Towards UnRx
CFB,ENSG00000243649,-1.45456407073999,3.88303885452169e-06,-0.0583769916593093,0.827165478092263,cis,Towards UnRx
CHODL,ENSG00000154645,-1.09081391268162,2.54151156744199e-05,1.08516765932978,2.10398352859107e-10,cis,Away from UnRx
CHORDC1,ENSG00000110172,1.26709508912908,1.25718868119631e-08,1.36492788049793,1.55506838176273e-36,trans,Towards UnRx
CHPT1,ENSG00000111666,0.892799275870052,1.6484940212947e-05,-0.0421005706745757,0.743174440898017,trans,Away from UnRx
CITED4,ENSG00000179862,-1.21825537143255,7.52523041811955e-09,-0.413627517159622,0.00443506798587171,cis,Towards UnRx
CLCN7,ENSG00000103249,-0.907923124732294,0.00211650241380971,-0.651664642555482,0.000193713527166307,cis,Towards UnRx
CLDN6,ENSG00000184697,-1.21891423726631,5.19125560865492e-06,-1.32308890851742,3.65759953078187e-12,cis,Towards UnRx
CLTB,ENSG00000175416,-0.643032024439575,0.000895110970080304,-0.282249753947219,0.018100883206614,trans,Towards UnRx
CLUH,ENSG00000132361,-0.667151181852031,0.00281843554060332,-0.137389367316254,0.39222196365437,trans,Towards UnRx
