gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
A1BG,0.578388199000628,7.26991247272956,162.749094970048,1.12085726280861e-36,8.16857313331737e-36,ENSG00000121410,-0.121505796329162,7.16576433830877,7.42415579171344,0.00646472097206225,0.0080140417722342,ENSG00000121410,3,NA,NA,3,3,3,2,NA,cis,FALSE,Away from UnRx cis,darkred
AAAS,-0.982022746125025,7.38498655957749,558.835509320658,6.2652849466653e-117,2.00090055557833e-115,ENSG00000094914,-1.25181094025268,7.22425015058586,916.939504175494,1.0341622282761e-180,3.97795201843804e-179,ENSG00000094914,3,3,3,3,3,3,3,2,trans,TRUE,Towards UnRx trans,deepskyblue
ACAA1,0.649369512850167,7.15933133204838,186.139812129631,1.32319143047983e-41,1.11597675902874e-40,ENSG00000060971,1.09968149279405,6.88438148264031,419.438392361682,1.57073476288101e-88,1.84613692463948e-87,ENSG00000060971,2,2,2,2,2,2,3,2,cis,TRUE,Towards UnRx cis,deepskyblue4
ACAD8,0.612187603139433,7.04300802084013,153.865750419435,3.28048076797211e-32,2.10336708064094e-31,ENSG00000151498,0.714499809284023,6.77617913434838,166.555115891982,2.49701986947659e-37,1.02338148699432e-36,ENSG00000151498,NA,NA,3,3,3,3,2,NA,unkn,TRUE,0,0
ACADVL,0.866274233093183,7.48956126857821,438.158838140916,3.73110824798856e-93,8.60127666915616e-92,ENSG00000072778,0.399517634866356,7.39609711174806,91.5107024267629,1.92654108764956e-21,5.02687509253997e-21,ENSG00000072778,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACBD5,-0.623598320200319,6.95725629550595,163.973551238265,3.07021145682771e-28,1.71904413674307e-27,ENSG00000107897,-0.486294279582311,6.64806831141491,79.1187901564062,2.6896377424612e-15,5.74419302236112e-15,ENSG00000107897,2,2,2,2,2,2,2,1,trans,TRUE,Towards UnRx trans,deepskyblue
ACER3,0.579253251715469,7.08267529109005,141.09028337059,2.47162718291076e-31,1.54138540984012e-30,ENSG00000078124,0.662365368985379,6.8251181657924,146.581639980177,3.89121092519401e-33,1.41788595131596e-32,ENSG00000078124,3,3,3,3,3,3,2,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ACOT9,1.05468936889155,7.35250548209389,596.208866853017,3.50745824087412e-124,1.22127747359325e-122,ENSG00000123130,0.38996537188304,7.25442758658948,84.3947281159087,6.48643136711764e-20,1.61291657266973e-19,ENSG00000123130,NA,NA,NA,NA,7,NA,NA,5,unkn,TRUE,0,0
ACSL1,0.831543526512318,6.94407218252699,304.451420659137,5.48891919505148e-47,5.32329610135167e-46,ENSG00000151726,0.904137142932682,6.6610129008677,263.50134862963,5.82995056101309e-47,3.05747233685654e-46,ENSG00000151726,2,2,2,2,2,2,2,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACSL3,-0.675873922368544,7.48515303829485,236.381917994459,4.21580456362212e-52,4.6559568462558e-51,ENSG00000123983,0.349714106612988,7.07540547101898,50.4701220175387,1.43675663754213e-12,2.78097195094614e-12,ENSG00000123983,NA,3,3,3,3,3,3,3,unkn,FALSE,0,0
ACTG1,0.505453871216163,11.1705807627806,572.373971256449,1.45874757092098e-119,4.82782859445398e-118,ENSG00000184009,0.173876154804367,11.3130448518636,61.1732696314223,6.71322203594351e-15,1.41628365967711e-14,ENSG00000184009,NA,NA,3,3,3,3,NA,NA,unkn,TRUE,0,0
ACTR1A,0.56167293212958,7.23835617650595,149.258865492155,8.019548259565e-34,5.34707645923656e-33,ENSG00000138107,0.326492065639392,7.04996862998708,46.4581976186064,1.08324783393016e-11,2.0252024721303e-11,ENSG00000138107,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ACTR2,0.526792219004223,7.96117009018105,300.264325613432,2.76978868932781e-65,4.0371280489214e-64,ENSG00000138071,0.460804543101212,7.86232584078509,216.543296338036,1.01696954022775e-47,5.42212892970221e-47,ENSG00000138071,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACTR6,0.696849221375792,7.11398139970873,207.457744593974,4.50238549074057e-46,4.28774185196073e-45,ENSG00000075089,-0.0427320581009985,6.96036874702944,0.756111638179468,0.384602776426191,0.409576982687632,ENSG00000075089,NA,2,NA,2,2,2,2,2,unkn,FALSE,0,0
ACYP1,-0.680112377522981,7.44448724329633,261.817095355462,2.26343860783313e-57,2.79529093095452e-56,ENSG00000119640,-0.0923785804977252,7.10583288142925,3.84263978343246,0.0500374112210694,0.0579161544913527,ENSG00000119640,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ADAR,0.545493586991878,7.71697127272406,244.974014358166,6.94048889158723e-54,8.00911652529767e-53,ENSG00000160710,0.422091288081144,7.59699110564538,141.932687435823,3.71100893236227e-32,1.31861110132778e-31,ENSG00000160710,4,NA,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
ADARB1,0.582071476001048,6.92353617694767,149.656846491863,2.09288610984511e-23,9.76615258702965e-23,ENSG00000197381,0.643104837893209,6.633742607967,132.945051229111,6.06734711426087e-24,1.71193378966795e-23,ENSG00000197381,NA,3,3,3,3,3,3,NA,unkn,TRUE,0,0
ADD3,0.602330098627641,7.17848956770303,152.019363685635,2.08569806776106e-34,1.42184773783194e-33,ENSG00000148700,0.668652501240026,6.94182171400168,152.332879178814,2.40063227853493e-34,9.03375604494574e-34,ENSG00000148700,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ADO,0.515175164909569,6.99928218716088,108.77184356217,1.44049065417448e-21,6.29148095821504e-21,ENSG00000181915,-0.0708012272514536,6.78430521952286,1.73086018772951,0.188380066237995,0.207032139289924,ENSG00000181915,2,2,2,2,2,2,2,2,trans,FALSE,Away from UnRx trans,coral2
ADSL,0.583441241174386,7.06906415749851,142.969421055756,5.39106387462128e-31,3.34539533011771e-30,ENSG00000239900,-0.742138188087055,6.99922985689661,253.879116905562,2.178013495431e-55,1.36973999730494e-54,ENSG00000239900,2,2,2,2,2,2,2,2,trans,FALSE,Away from UnRx trans,coral2
ADSS,0.595841612348441,7.3140343425111,187.242663048106,7.76133474809921e-42,6.57353588293402e-41,ENSG00000035687,-0.218217947578718,7.24838584224223,27.1511317025481,1.98104765225516e-07,3.12395975932545e-07,ENSG00000035687,NA,NA,NA,4,4,4,4,3,unkn,FALSE,0,0
AFAP1,0.670420785992904,6.9446650248671,188.428884821608,1.31356303339743e-30,8.05159541498132e-30,ENSG00000196526,0.864511211827347,6.65319068441983,229.794614780099,7.33549831084369e-42,3.38104144366469e-41,ENSG00000196526,NA,NA,3,3,3,3,2,NA,unkn,TRUE,0,0
AFF3,1.01743330657641,7.22303704072305,411.778327340406,6.98578310779213e-88,1.49686822660127e-86,ENSG00000144218,0.961581131461118,7.01417406372958,300.190137920753,8.47684811145199e-65,6.51657698567872e-64,ENSG00000144218,3,NA,3,3,3,3,3,NA,trans,TRUE,Towards UnRx trans,deepskyblue
AHCTF1,0.645564456011653,7.41984787135108,219.866456819858,1.15460608998869e-48,1.1695343303441e-47,ENSG00000153207,-0.119368443857677,7.37467256871599,7.98836646788518,0.00473236680280207,0.00591503911615743,ENSG00000153207,NA,NA,NA,4,4,4,4,3,unkn,FALSE,0,0
AHI1,-0.608558545887583,7.93446990090627,327.423453565551,7.78563344486274e-71,1.25926342234006e-69,ENSG00000135541,0.130140656743945,7.56870070984509,11.8742431117539,0.000575293910241646,0.00075812370531159,ENSG00000135541,NA,NA,NA,3,3,3,4,NA,unkn,FALSE,0,0
AIF1L,0.612866887064957,6.97124351470893,154.850660066416,8.06240144280523e-28,4.46437115783826e-27,ENSG00000126878,0.0847414343284438,6.7390524759397,2.35689643168611,0.142923812288246,0.158991280511627,ENSG00000126878,2,2,2,2,3,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AIG1,-0.675580086064284,7.37433551285744,263.114914690061,1.22076665379038e-57,1.51508019854083e-56,ENSG00000146416,-0.633967471958707,7.13789150713802,201.870607669104,1.10217362519767e-44,5.48133173828912e-44,ENSG00000146416,NA,NA,NA,3,3,3,4,NA,unkn,TRUE,0,0
AK9,-0.696690810588361,7.06092281257937,196.824460485188,1.98669492935958e-43,1.75220551905171e-42,ENSG00000155085,-0.139696660101439,6.71844437285281,6.08254974173791,0.0153442305678554,0.0184906893309153,ENSG00000155085,3,NA,3,3,3,3,3,NA,trans,TRUE,Towards UnRx trans,deepskyblue
AKAP12,-0.776453189728227,8.66262339689221,352.289060644841,6.85493066998332e-76,1.21881639642895e-74,ENSG00000131016,1.10689837737524,8.00421656225595,489.002592925251,4.63834292696788e-102,6.56819163071838e-101,ENSG00000131016,NA,NA,NA,3,3,3,NA,3,unkn,FALSE,0,0
