gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
AAK1,ENSG00000115977,-0.0885648325802117,0.697161671150067,-0.6715274273812,0.000158329808707523,Repressed
AAMDC,ENSG00000087884,0.149006665686707,0.275255782622591,0.707761499188687,7.85144039090775e-07,Activated
ABCB8,ENSG00000197150,-0.0308844502070796,0.962916684333108,0.518073139232468,0.00492393509455999,Activated
ABL2,ENSG00000143322,-0.0894864590032464,0.670136607234979,-1.29025134572476,6.76906533356944e-12,Repressed
ABRAXAS2,ENSG00000165660,0.202281402776234,0.203182094982435,0.58858886564157,0.00195713855000325,Activated
AC093249.6,ENSG00000261840,-0.128497103319254,0.530961811655594,-0.583427510798099,0.00331645714068574,Repressed
ADD1,ENSG00000087274,-0.0345673571441644,0.860955834947004,-0.547491554005863,0.000594835601151741,Repressed
ADM2,ENSG00000128165,-0.046423848696357,0.886593807698986,-0.99178531297377,2.59267393720153e-07,Repressed
ADORA1,ENSG00000163485,0.203231968197906,0.231545681345425,0.50319173025729,0.00473765973308783,Activated
ADSL,ENSG00000239900,-0.130142863394679,0.516025023800304,-1.21012217693876,2.59372526973249e-10,Repressed
AGAP3,ENSG00000133612,0.0588264808971311,0.848653574677335,0.592250526487088,0.00144662577396461,Activated
AGPS,ENSG00000018510,0.222360505423061,0.174011623106985,0.510033934666995,0.00462033722487978,Activated
AGT,ENSG00000135744,0.0628651742307369,0.754091140100899,0.587062618634306,0.00261233843747967,Activated
AHI1,ENSG00000135541,-0.200495995327702,0.288030737794443,-0.6078347932308,0.00047647637997523,Repressed
ALAS1,ENSG00000023330,-0.0605404385043053,0.727651256030489,0.514913058931004,0.00173120194061976,Activated
ALDOA,ENSG00000149925,-0.17050087800009,0.373853487233381,-1.2819080490409,1.0486773328128e-14,Repressed
ALKBH5,ENSG00000091542,0.228523260076557,0.116624546470749,0.601219076476804,0.00014127255137593,Activated
ANG,ENSG00000214274,-0.229841097453374,0.262479584858561,-0.573895175936568,0.00480650356625628,Repressed
ANKLE2,ENSG00000176915,0.0438243181824827,0.802855795392811,-0.565283377559848,0.000205083520442404,Repressed
