gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,cnchange.x,color.x,mlog10FDR.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,cnchange.y,color.y,mlog10FDR.y,A,B,C,D,E,F,G,H,I,J,K,ct,col,label,color
ALDH1A1,-1.13242301304456,6.75386421757482,25.9178432689738,5.64162908413509e-07,4.15795041728929e-06,ENSG00000165092,0.02589155323432,blue,5.38112069384679,-1.50731461142006,6.94555436740722,41.7893987454172,2.13033446120693e-10,1.95785848478857e-09,ENSG00000165092,0,black,8.70821870246982,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ALDH3B2,-0.526061281886528,6.88567921890294,9.33951637258568,0.00240270172348631,0.00733306838066388,ENSG00000132746,-0.0377814985349101,blue,2.13471426520124,-0.120772393201964,6.82465711278874,0.590888693478257,0.442382917924882,0.547302400975853,ENSG00000132746,0,black,0.26177264663499,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ANK3,-0.743339991192849,6.76474099423174,15.4510710296282,0.000100772726423963,0.000447326956378236,ENSG00000151150,-0.04422836626139,blue,3.34937493001072,-0.448399149529896,6.7376761622834,7.73650056165482,0.00558431604500486,0.0136257905732335,ENSG00000151150,0,black,1.86563829039941,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ANKRD49,1.21121446556529,6.72625454168228,49.5180243313713,9.35800945984562e-12,1.38334239076268e-10,ENSG00000168876,-0.0496819413074099,blue,9.8590703144567,1.30790877461732,6.65961311342794,84.1714492414702,7.51625035334747e-19,1.53881804109158e-17,ENSG00000168876,0,black,16.81281273067,3,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ANXA1,-0.924487854108015,9.49206153941005,18.2442355089087,2.46403861110637e-05,0.000127327839103602,ENSG00000135046,0.02589155323432,blue,3.89507663132472,-1.51529618995807,10.0892995275121,52.3976102971841,1.41693794484758e-12,1.66404031115775e-11,ENSG00000135046,0,black,10.7788361571911,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ARF5,-0.881702793249364,8.55523349178631,90.2791438034914,2.4816823426553e-19,7.75125460734192e-18,ENSG00000004059,-0.90888400670355,blue,17.1106279975005,-0.69882930168719,8.53403207117944,83.2233513601719,1.14399576452365e-18,2.31627575103994e-17,ENSG00000004059,0,black,16.6352097394065,3,3,3,3,3,3,4,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ARHGAP1,0.821527793212562,6.61719785853211,24.2167980688624,1.28985088227019e-06,8.78732184174572e-06,ENSG00000175220,0.07330210195887,blue,5.05614346697139,0.709927188017815,6.61872614490487,24.1277052508839,1.16875719415087e-06,6.17858270014514e-06,ENSG00000175220,0,black,5.20911113593031,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ARHGEF5,-0.902314420889622,6.48002294180129,26.8666201516434,5.3723152801481e-06,3.19125415337632e-05,ENSG00000050327,-0.82860976219604,blue,4.49603860695863,-0.340218052581657,6.45265184196536,4.80311280738731,0.0687408850512052,0.119524435580977,ENSG00000050327,0,black,0.922543298455397,1,1,1,1,1,1,2,1,2,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ARMC1,0.531136436057155,7.26899254542557,15.2854515253635,0.000109624768820455,0.000480018914235863,ENSG00000104442,1.05704509070647,blue,3.31874164973602,0.503325072792957,7.24000664215956,17.9998699459427,2.56449635976282e-05,0.000106384263282427,ENSG00000104442,1,blue,3.97312260958854,3,2,3,3,2,3,2,3,3,3,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ARPC1A,-1.13627000814366,8.61548864050868,137.758921573067,2.55402113552947e-27,1.42326961984254e-25,ENSG00000241685,-0.96744501092061,blue,24.8467128207041,-1.2082797659746,8.79755956824672,207.827287310204,1.37643159964402e-40,7.74517216683127e-39,ENSG00000241685,-1,blue,38.1109689238991,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
ARPC1B,-1.31948922597333,8.72433914175426,126.975007630246,1.42024886072491e-25,6.83307309017089e-24,ENSG00000130429,-0.96744501092061,blue,23.1653839338085,-0.853048580759031,8.53296572969789,58.0822604232641,1.00646871503813e-13,1.32443774093684e-12,ENSG00000130429,-1,blue,11.8779684521671,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
ASNS,-0.740896691056294,6.82339177802816,12.8021913464216,0.000391461145454321,0.00151008866169779,ENSG00000070669,-0.78394578218327,blue,2.82099755326597,-0.432488437787811,6.79696635991915,4.94730868183572,0.0265085458170217,0.0529017367784427,ENSG00000070669,-1,black,1.27653006972451,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
ATAD2,0.674174984407774,7.21128293362727,13.5937564312484,0.000260325196041191,0.00104915659132938,ENSG00000156802,0.17996358163676,blue,2.97915968656826,1.19315039233429,7.0174839075548,58.2758236112708,9.2024333087097e-14,1.22148651675087e-12,ENSG00000156802,0,black,11.9131113225776,4,4,NA,4,3,4,3,3,4,4,3,trans,TRUE,Towards UnRx trans,deepskyblue
ATG2A,-0.854236978065069,6.62243793274362,18.6342042864479,2.02741922545389e-05,0.000106398301628495,ENSG00000110046,-0.0110115624247902,blue,3.97306530436484,-0.256786293706336,6.55627342858212,2.44487910045537,0.118444567720487,0.188247023935593,ENSG00000110046,0,black,0.725271880989501,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ATP5MD,1.64660737304237,7.65023319576124,198.278844932521,1.81675131882548e-36,1.6954886404364e-34,ENSG00000173915,-0.0959915571941401,blue,33.7707051155953,2.18416389121177,7.33936248899726,415.091036097561,2.76190648538897e-70,4.29359428542163e-68,ENSG00000173915,0,black,67.3671789957468,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ATP5MG,1.55864644156973,7.99977674759653,213.931485028505,1.12909640133035e-38,1.28617363598602e-36,ENSG00000167283,-0.00789570380650995,blue,35.8907003968393,0.873278558036348,8.08658609531003,114.636197310974,1.43389398975743e-24,4.21528066476127e-23,ENSG00000167283,-1,blue,22.375173503578,1,1,1,1,2,1,1,1,1,1,1,cis,TRUE,Towards UnRx cis,deepskyblue4
ATP6V0A4,-0.954951728695553,6.96059847089948,23.9307838664072,1.48305472202587e-06,9.92032977272225e-06,ENSG00000105929,-0.72461306435825,blue,5.00347389073966,-1.03576825659973,7.05826246807177,31.3684733929939,3.27370916338432e-08,2.21597494070561e-07,ENSG00000105929,0,black,6.65443515512358,3,3,3,3,3,3,4,3,NA,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ATP6V0E2,-1.82185125287893,7.02720966810863,92.3168972452226,1.08358811220134e-19,3.46837748640976e-18,ENSG00000171130,-0.66291052086269,blue,17.4598736414891,-1.13114461029086,6.88327171344494,42.6632212905736,1.40396654553643e-10,1.32891446394841e-09,ENSG00000171130,0,black,8.8765029716763,1,1,1,1,1,1,2,1,2,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ATP6V1B2,-0.699040149762799,6.82910894775879,16.5783308836369,5.69345241781061e-05,0.000267768563620892,ENSG00000147416,-0.0246685551208601,blue,3.57224041107071,-0.558584551153497,6.84269267815926,14.1590080090203,0.00018475130787484,0.000643332952098721,ENSG00000147416,0,black,3.19156420307169,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ATP6V1C1,0.505664188281864,7.33861123262126,14.1249677450128,0.000198217534957503,0.000820329107645076,ENSG00000155097,1.10051400982092,blue,3.08601187815358,0.342089237174147,7.36687730764092,8.55533720062961,0.00357734529380053,0.00922186931836383,ENSG00000155097,1,blue,2.0351810363907,5,5,5,5,4,5,4,5,5,5,5,cis,TRUE,Towards UnRx cis,deepskyblue4
ATP6V1F,0.501327404739427,8.95847426385845,31.0800487123439,4.73231691877668e-08,4.18453502886349e-07,ENSG00000128524,-0.70049141714262,blue,6.37835279229857,1.04888165484387,8.59619449746769,207.487590116877,1.5616747719382e-40,8.73395183427878e-39,ENSG00000128524,0,black,38.0587892074415,3,3,3,3,3,3,4,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
BAG1,-0.721822351610238,7.24058244013024,24.452564166711,1.14980060808866e-06,7.92380383474624e-06,ENSG00000107262,-0.11630287268158,blue,5.10106628459005,-0.635230185201237,7.27579617827957,22.6241809738507,2.47870425066914e-06,1.23930741526423e-05,ENSG00000107262,0,black,4.90682095174109,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
BAG3,-0.702348424891142,7.00847981213758,12.8150841173766,0.000388861670207242,0.00150230548500015,ENSG00000151929,-0.06518222240172,blue,2.82324174711875,-0.520050465378752,6.99682171179349,10.3847759846907,0.0013405491476794,0.00382085667573507,ENSG00000151929,0,black,2.41783925283889,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
BAMBI,-0.781880582094815,6.96669125819263,14.3325550522653,0.000178235091124537,0.000746275143703062,ENSG00000095739,-0.0141960047848799,blue,3.12710102324946,-1.11582222395216,7.1501576359052,31.9289309540456,2.4893670221403e-08,1.71029770240231e-07,ENSG00000095739,0,black,6.7669282877029,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
BARX2,-1.42801119985267,7.10470858369668,59.1005544813211,1.31975758097594e-13,2.51794143404917e-12,ENSG00000043039,0.0187347717986701,blue,11.5989543755646,-1.95791113589176,7.46914293550556,139.985689960143,3.91302217630454e-29,1.47696458440598e-27,ENSG00000043039,-1,blue,26.8306299183519,3,3,3,3,4,3,3,3,3,3,3,cis,TRUE,Towards UnRx cis,deepskyblue4
BCAP29,-1.04609845593099,6.73530299764482,23.8699919971837,1.5277426033915e-06,1.01840741874962e-05,ENSG00000075790,-0.98914951036969,blue,4.99207844565616,-1.37472590514026,6.89056581041224,54.5220169949581,5.25667146144762e-13,6.489123909071e-12,ENSG00000075790,-1,blue,11.1878139329591,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
BIRC3,-0.773362992830891,6.91559370590769,10.5351741734983,0.00127622760935394,0.00423965039170033,ENSG00000023445,-0.0662167541068799,blue,2.37266995454297,-0.755528381647842,6.96922272470302,12.1943065054725,0.000515170463268726,0.00162097546795909,ENSG00000023445,0,black,2.79022355776753,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
