gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
ABCC5,ENSG00000114770,0.210442311299554,0.384131528093833,0.628053018376997,0.000694792035425888,Activated
ABCD3,ENSG00000117528,-0.291621451032696,0.137057762546871,-0.645480409343064,1.60528821381418e-05,Repressed
ABI1,ENSG00000136754,-0.0514381664069343,0.818484363907106,-0.500602191513356,0.000245272799910903,Repressed
ADAM32,ENSG00000197140,0.324589878481843,0.142950948758361,0.59025635729492,0.00122118895835614,Activated
ADIPOR1,ENSG00000159346,-0.242544593454314,0.150202794568963,-0.65805294683699,5.33666926576316e-07,Repressed
ALDH1A3,ENSG00000184254,0.267787927580441,0.145909141428356,0.880304604419038,4.8589202231348e-12,Activated
ANKRD10,ENSG00000088448,0.21414984585987,0.107004705352943,0.623936137732431,9.91103548127896e-10,Activated
ANKRD36B,ENSG00000196912,0.369387220030638,0.124577272472978,1.00017058649297,1.71344466299409e-11,Activated
ANKRD39,ENSG00000213337,0.255305221328585,0.125028477480697,0.539989775686008,2.18384613456915e-05,Activated
APH1A,ENSG00000117362,-0.150637020706063,0.279097430973666,-0.51644340462292,1.84826145979779e-08,Repressed
ARF5,ENSG00000004059,-0.157056374999467,0.208882113251783,-0.559679287385749,1.52187923780288e-10,Repressed
ARFGEF3,ENSG00000112379,-0.187419020496148,0.381170902673786,-0.534383030125344,0.000371374609623268,Repressed
ARHGAP11A,ENSG00000198826,0.351796458835484,0.164969510473723,0.818810173820269,6.04544479267542e-07,Activated
ARHGEF10,ENSG00000104728,0.260675399777835,0.267507034935588,0.694526057712722,1.82569320920699e-05,Activated
ATF3,ENSG00000162772,0.247198105482379,0.264745674271701,0.846606036475962,2.09766800701472e-10,Activated
ATP1A1,ENSG00000163399,-0.0996868431836022,0.520302947685402,-0.514861942370562,1.83309984323301e-06,Repressed
ATP6V0A1,ENSG00000033627,0.295033763953455,0.164948155030377,0.695635993900765,6.31318399840993e-06,Activated
ATP6V1A,ENSG00000114573,-0.191720199645742,0.361438350337924,-0.551500711412436,4.71146826072229e-05,Repressed
ATXN3,ENSG00000066427,0.252689862869852,0.195538343662804,0.563221199388477,0.000170811341084718,Activated
BCL9L,ENSG00000186174,-0.353771047730575,0.125416544327033,-0.660292779655478,9.56106574682801e-05,Repressed
BIK,ENSG00000100290,-0.328625145741838,0.132662407175507,-0.700205967286223,5.33406256382654e-05,Repressed
BNIP2,ENSG00000140299,0.156477367681641,0.461398504190023,0.521723604884139,0.000742759911154254,Activated
BTG2,ENSG00000159388,-0.11048235451558,0.699279502145705,0.540688485792159,0.00141639131237385,Activated
BUB1,ENSG00000169679,0.358745748145387,0.180572461337248,0.687050068222922,9.25511709238329e-05,Activated
BUB1B,ENSG00000156970,0.263265240751059,0.309330833440304,0.715467384490461,3.86431606952425e-05,Activated
C1orf56,ENSG00000143443,0.234286146586208,0.327587262239339,-0.759072204063699,0.000143475084288518,Repressed
C21orf58,ENSG00000160298,0.173648848528211,0.518921011188235,0.888573522607975,4.22065282391404e-07,Activated
C3,ENSG00000125730,-0.228836012674167,0.284397264779982,-1.23854188774679,1.52918804632322e-18,Repressed
CAMK1D,ENSG00000183049,-0.337917384068936,0.215923357565979,-0.513237838148915,0.00872764252521391,Repressed
CAPRIN2,ENSG00000110888,0.249618469336698,0.295916958987429,0.896542034902183,3.03619071444345e-07,Activated
CARMIL1,ENSG00000079691,0.32429397219847,0.142105580250468,0.560851469497678,0.000845611091846442,Activated
CBX1,ENSG00000108468,0.152750858698042,0.27859014588685,0.695235571389421,1.30540221540856e-11,Activated
CCDC117,ENSG00000159873,0.0455012468132095,0.870581618518827,0.581185196460964,0.000963396578121392,Activated
CCDC28B,ENSG00000160050,0.100570199627131,0.744719290186064,0.509935396744541,0.003415471763461,Activated
CCNA2,ENSG00000145386,-0.146461116787518,0.593507590114392,0.531947817616493,0.00218724458651742,Activated
CDC42EP3,ENSG00000163171,0.311981985793554,0.157626034323143,0.541664573874678,0.000407815585667565,Activated
CDC6,ENSG00000094804,0.279624364004636,0.262069617563658,0.502583911254857,0.00428239496076143,Activated
CDCA2,ENSG00000184661,0.199880882596823,0.330092715493822,0.605578971595531,3.83602526108467e-05,Activated
CDK2,ENSG00000123374,0.228375298744315,0.387540986165715,0.545939474787373,0.00429275253779234,Activated
CDK5RAP3,ENSG00000108465,0.247466103542055,0.146228100103298,0.570354894531471,1.43706337556728e-05,Activated
CDKN2B,ENSG00000147883,0.26845486098279,0.259355051085724,0.755027240955955,3.00235262995712e-06,Activated
CDKN3,ENSG00000100526,-0.0184595997868297,0.958440447980685,0.634855836888041,0.000203821414827425,Activated
CDR2L,ENSG00000109089,0.0368618254994893,0.979456139237447,0.583262969391775,0.00235818999816694,Activated
CENPF,ENSG00000117724,0.24102366041163,0.347325069949624,0.539586533300989,0.00255398426445724,Activated
CENPJ,ENSG00000151849,0.348646265020638,0.125322422173668,0.675118833563415,5.02022926637808e-05,Activated
CENPT,ENSG00000102901,0.0906881374483722,0.731590613660895,0.64845274688268,0.00013454577792936,Activated
CEP152,ENSG00000103995,0.331125811077875,0.160604709822444,0.725925204347962,9.64851642639057e-05,Activated
CEP250,ENSG00000126001,0.415443860559815,0.100796429201627,0.680773965807385,0.000418542158637773,Activated
CEP70,ENSG00000114107,0.0955159198403379,0.705155718031047,0.695621365238603,1.0432916902077e-05,Activated
CERK,ENSG00000100422,0.108521876309361,0.778464281750623,0.567402526148149,0.00312712040838502,Activated
CERS2,ENSG00000143418,0.171151702841296,0.276102963035341,-0.822298674301045,4.58858504106313e-13,Repressed
CHMP4C,ENSG00000164695,0.255840430356984,0.237200126202014,-0.572027265587635,0.000703499091771373,Repressed
CKAP2L,ENSG00000169607,0.216627798897629,0.430273970088415,0.537137097470091,0.00168590629144093,Activated
CLU,ENSG00000120885,-0.269518345539042,0.370415549768206,-0.956598152141538,6.60738976118149e-07,Repressed
CMTM8,ENSG00000170293,-0.0428998937525134,0.807608861222154,-0.578916960496759,1.57641676363803e-07,Repressed
COCH,ENSG00000100473,0.354737805723007,0.14518749447708,0.811906649898114,1.84948489022104e-06,Activated
CTGF,ENSG00000118523,-0.287126695222139,0.416913731026733,0.570315325724291,0.00649154979322352,Activated
CTPS2,ENSG00000047230,0.312125519802708,0.186780744585709,0.578745897378587,0.00125835228863598,Activated
CX3CL1,ENSG00000006210,-0.283878406603964,0.245393300630035,-1.07716363760739,2.53815936576335e-09,Repressed
CXCL10,ENSG00000169245,-0.448533438825548,0.147901398298747,-1.77542425506008,7.63474902570163e-11,Repressed
CXCL5,ENSG00000163735,-0.130515436942711,0.659304014960976,-0.721200329100845,0.000188736393888323,Repressed
DALRD3,ENSG00000178149,-0.348881652303745,0.100987559216238,-0.50725260252177,0.00168830350056673,Repressed
DCUN1D2,ENSG00000150401,0.334439309989416,0.11052166709493,0.535389249093322,0.000923045159633706,Activated
DDX39B,ENSG00000198563,0.203865907370727,0.260008365790443,0.917190452358757,5.95302553325977e-13,Activated
DEDD2,ENSG00000160570,0.210005463879734,0.311401730982879,0.521650810352289,0.000311370004361531,Activated
DHCR7,ENSG00000172893,0.163180414856145,0.330852720538317,-0.560953746499372,5.73118751731658e-07,Repressed
DLGAP5,ENSG00000126787,0.183594185632701,0.516743522092939,0.889970778403674,7.86443666751351e-08,Activated
DNAJC10,ENSG00000077232,0.213574430635215,0.165258062566576,0.537256726305345,2.5514135386483e-06,Activated
DYNC1I2,ENSG00000077380,-0.13675176756584,0.219674835553423,0.620118282044962,1.62379666695264e-14,Activated
EEA1,ENSG00000102189,0.229562560591813,0.207592905389042,0.564045286585015,2.92119328646345e-05,Activated
EEF1E1,ENSG00000124802,0.22195079116273,0.133265369689706,0.531405635002499,5.52209591316382e-06,Activated
EFNB2,ENSG00000125266,-0.209730109460575,0.337520336992767,-0.5943397538115,0.000210244463150924,Repressed
EFS,ENSG00000100842,-0.300059991481873,0.133265369689706,-0.509907601942292,0.00101020354001011,Repressed
EIF2B4,ENSG00000115211,0.227201534237104,0.268370357264895,0.527534491623369,0.000498483573213044,Activated
EMP1,ENSG00000134531,0.221596878386471,0.178525061002101,0.58176971511247,2.28237451720712e-06,Activated
EPHX1,ENSG00000143819,-0.100811987527041,0.705491977528059,-0.547413875482844,0.000645277053073082,Repressed
ESR1,ENSG00000091831,0.163292120180026,0.531520749652368,0.587071353966491,0.00264325247487649,Activated
FAM227A,ENSG00000184949,0.376138402530944,0.141164002749354,0.554817731364977,0.00389620297645056,Activated
FANCI,ENSG00000140525,0.322810705082115,0.152130334296424,0.520565962198168,0.00128997675916614,Activated
FAR1,ENSG00000197601,0.26247678514148,0.128003401387212,0.587995144011407,1.95574805679441e-05,Activated
FBXL12,ENSG00000127452,-0.34437016303248,0.100987559216238,-0.577094433470737,0.000342889603115578,Repressed
FBXO2,ENSG00000116661,-0.141761580230787,0.567942374659292,0.633661083544933,2.36337470611207e-05,Activated
FGGY,ENSG00000172456,-0.145100106520616,0.673374955867715,-0.533563617551599,0.00515637507657896,Repressed
FIGNL1,ENSG00000132436,0.341929330346811,0.117309711490722,0.526344393693271,0.000677140328810948,Activated
FKBP9,ENSG00000122642,-0.210113586436202,0.340565194818179,-0.523452164033154,0.00133269324236626,Repressed
FOLR1,ENSG00000110195,-0.322364204754146,0.225727385766936,-1.01871163861865,5.90879349886678e-08,Repressed
GADD45A,ENSG00000116717,-0.242353535078373,0.386503458097805,0.746815614351722,2.48313185289244e-05,Activated
GAS1,ENSG00000180447,0.330600252581672,0.171524456985484,0.760096580965905,1.30463308777546e-05,Activated
GBP3,ENSG00000117226,-0.366720422209409,0.176220254994328,-0.558416338686221,0.00796939779285665,Repressed
GGT6,ENSG00000167741,0.0770667587850481,0.755129680000167,-0.514669687715584,0.00058792385479608,Repressed
GLTP,ENSG00000139433,-0.266771579878205,0.157996048069045,-0.535187075568585,0.000379218528711247,Repressed
GPATCH11,ENSG00000152133,0.28319882623464,0.172350764404113,0.58768738334669,7.4026122211206e-05,Activated
GPR153,ENSG00000158292,-0.381114287622022,0.123923302851139,-0.53534953002017,0.0049122055405444,Repressed
GPS2,ENSG00000132522,0.304991326503078,0.208165951057664,0.665097409336156,0.000605713596098581,Activated
GTF2B,ENSG00000137947,-0.319092034661621,0.146965094630009,-0.503546058902474,0.00110650121090113,Repressed
GTSE1,ENSG00000075218,-0.157350053915239,0.585432812059292,0.534326431911309,0.00188679668008729,Activated
HAUS8,ENSG00000131351,0.148988316053365,0.544266060852813,0.661396481159555,8.29910712725624e-05,Activated
