gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
ANKRD13D,ENSG00000172932,0.607044816956541,4.72579551341049e-34,1.20087855219896,1.06498385856335e-94,cis,Towards UnRx
ANKRD18B,ENSG00000230453,-0.671341810763114,1.54226299251361e-37,-0.159289477846805,0.0051647106128026,trans,Towards UnRx
ANKRD26,ENSG00000107890,-0.989393421198225,1.93586499192263e-94,-0.422006566498129,4.70934370796765e-15,cis,Towards UnRx
ANKRD27,ENSG00000105186,0.522493857092891,5.22562443502359e-19,0.839442830493048,1.1811200667036e-38,cis,Towards UnRx
ANKRD37,ENSG00000186352,0.703930413817808,4.54729251589017e-35,0.966477084461808,2.38088265422322e-47,cis,Towards UnRx
ANKRD50,ENSG00000151458,0.533608976290357,3.12468902077925e-19,0.915390490778465,1.52790610129486e-43,cis,Towards UnRx
ANKRD6,ENSG00000135299,-0.539143905309183,5.84960753860772e-21,0.228996900029499,0.000658291079628283,trans,Away from UnRx
ANOS1,ENSG00000011201,-0.824086545329617,1.26758299760407e-45,-0.780033527548988,7.44615888203997e-38,trans,Towards UnRx
ANP32E,ENSG00000143401,0.782593157733205,7.30203471659748e-100,0.55939516020534,5.51390573035553e-49,trans,Towards UnRx
ANXA5,ENSG00000164111,0.603933453621073,9.41106940663759e-66,0.86078249391897,1.30581140197428e-109,cis,Towards UnRx
AP1AR,ENSG00000138660,0.687382862278249,2.69186617539384e-40,0.456127413359318,2.30470832057266e-16,cis,Towards UnRx
AP2A1,ENSG00000196961,0.677601926724899,5.78466052015111e-39,0.589953971304433,1.65658108123851e-25,cis,Towards UnRx
APAF1,ENSG00000120868,0.532614146120001,7.19155691330965e-19,0.587780334531804,6.58650044514516e-20,trans,Towards UnRx
APLP1,ENSG00000105290,0.719073805976694,6.9947287743057e-61,1.30642199346156,1.43837183551915e-141,cis,Towards UnRx
APLP2,ENSG00000084234,0.616448566546136,2.21092793066346e-60,1.3837969688943,8.27194368059081e-197,cis,Towards UnRx
APOO,ENSG00000184831,1.37882148215111,2.59022797724538e-287,0.249254146630264,9.28064712774585e-15,trans,Towards UnRx
APPL2,ENSG00000136044,0.94039456240305,7.36378429028219e-74,0.363334421909512,1.69516563567219e-11,trans,Towards UnRx
AQP5,ENSG00000161798,0.779047035179263,7.74813261292231e-40,0.532684404375569,4.22674603142614e-18,cis,Towards UnRx
AR,ENSG00000169083,0.863838846346516,1.91565830628457e-61,0.712972615881086,2.80061461205285e-34,trans,Towards UnRx
ARCN1,ENSG00000095139,0.55363501584758,1.42759342549051e-36,0.957955103727605,2.42571902814628e-81,cis,Towards UnRx
