gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
ITFG2,ENSG00000111203,-0.119706500265029,0.589898619796851,-0.638968862181056,6.45726678705876e-06,Repressed
ITGAE,ENSG00000083457,0.171675781892973,0.191955016668181,0.88887464845692,3.22721487185221e-21,Activated
ITGB8,ENSG00000105855,-0.0640213309373412,0.72567540665098,-0.981079046435414,2.75989723295759e-21,Repressed
ITPRIPL2,ENSG00000205730,0.131595666723958,0.574766069701403,-0.553356801159629,0.000150099854070257,Repressed
JADE3,ENSG00000102221,0.0415000189645619,0.853133566381192,0.509575112344904,0.000698593419748065,Activated
KALRN,ENSG00000160145,0.261117184635497,0.122153104540619,-0.546164982141288,2.48848897035548e-06,Repressed
KAT6A,ENSG00000083168,-0.139451662152312,0.363445265837372,-1.16490576561526,7.27487921027014e-33,Repressed
KBTBD2,ENSG00000170852,0.102437875355142,0.692982947646778,-0.536277379823606,2.00914583213794e-05,Repressed
KDM6B,ENSG00000132510,-0.276019146107202,0.124480616726383,-0.567416091256774,3.56467300679959e-05,Repressed
KIAA0895L,ENSG00000196123,0.279539141957542,0.287221507933267,0.703310883027823,3.4369500363542e-05,Activated
KIAA1217,ENSG00000120549,-0.172749976765862,0.316143730221601,-0.673424135771169,1.9037215041755e-09,Repressed
KIAA1522,ENSG00000162522,0.090850562577867,0.612356162959838,-0.68977845591389,3.85159681370863e-11,Repressed
KIAA1586,ENSG00000168116,0.0752441006942442,0.711309854278074,0.542016651804705,0.000296966057306921,Activated
KLC4,ENSG00000137171,-0.0557734207127494,0.85333089524867,-0.545896512807752,0.00096550465933311,Repressed
KLHDC10,ENSG00000128607,-0.197699392521349,0.238251996475524,-0.62141247000403,2.5488682662119e-08,Repressed
KLHL21,ENSG00000162413,-0.171190544039955,0.449974604352754,-0.70630370087571,8.41893426388066e-07,Repressed
KLHL35,ENSG00000149243,-0.178012511840932,0.312098903760438,-0.544083615392659,2.9873569304751e-06,Repressed
