gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
ABHD3,ENSG00000158201,-0.292904436649805,0.231211307216857,-0.617466928567247,0.00095674239254596,Repressed
ABHD8,ENSG00000127220,-0.338318828482719,0.137408032179618,-0.682150213502293,0.000144856727399314,Repressed
ACTR1B,ENSG00000115073,0.0985055387793242,0.864999177961039,-0.533641454591663,0.00094999936432653,Repressed
ADCY3,ENSG00000138031,0.217689679143887,0.320879976459725,0.673671215300516,3.12125252136108e-05,Activated
ADK,ENSG00000156110,-0.116974062566164,0.663522696299412,-0.550418784407665,0.00154047446839088,Repressed
AFF1,ENSG00000172493,0.202639911815616,0.508168917046932,0.583965275906009,0.00485941734052042,Activated
ALDH7A1,ENSG00000164904,0.00770167373792333,0.981332041105582,-0.920871697114094,2.49382142701916e-12,Repressed
ALG1,ENSG00000033011,-0.248143714912559,0.269373632026487,-0.58428642244445,0.00122070823984309,Repressed
ALKBH3,ENSG00000166199,-0.280575308795534,0.199396903775963,-0.671493734910253,0.000135026755734717,Repressed
ANAPC1,ENSG00000153107,0.306253854799545,0.121618739152966,0.650490409496914,3.33745710492251e-05,Activated
ANAPC13,ENSG00000129055,0.234115294729755,0.261797111999103,-0.595320021412852,0.000173642434751294,Repressed
AP3B1,ENSG00000132842,-0.0759057305324536,0.754905053076141,-0.648148995448557,0.000135026755734717,Repressed
APOD,ENSG00000189058,0.432092964607579,0.146161039704645,0.929416227439121,1.86806924402649e-05,Activated
ARAF,ENSG00000078061,-0.215620577817901,0.387840007759861,-0.68914512085185,0.000167789839676161,Repressed
ARCN1,ENSG00000095139,0.193932206993188,0.37439814558108,-0.64001555748668,6.05749418259495e-05,Repressed
ARHGEF10,ENSG00000104728,0.00400210878402699,0.995107246021369,0.517241340513857,0.00819905364042673,Activated
ARID5A,ENSG00000196843,-0.0886081044946328,0.741802273101707,-1.14258438569861,3.93732803951218e-09,Repressed
ARL5B,ENSG00000165997,0.199028615402168,0.315128935390915,0.538306247233378,0.00164831641883279,Activated
ARV1,ENSG00000173409,-0.184308514138261,0.342298968415234,-0.71292535236067,2.9100120434528e-07,Repressed
ATP1A1,ENSG00000163399,-0.233137161556475,0.13179982292716,-0.506442987979783,4.98445472317648e-05,Repressed
B4GALNT1,ENSG00000135454,0.30417904874063,0.282137251048912,0.544762695112885,0.00783914463693196,Activated
BACE2,ENSG00000182240,-0.214335690385314,0.206653997133549,-0.75476016561137,3.93176835638342e-08,Repressed
BCKDHB,ENSG00000083123,-0.237405553466388,0.292974694360023,-0.72837688819508,2.17565899970989e-05,Repressed
BRD1,ENSG00000100425,0.0284127421120943,0.914668369949616,0.504268435368453,0.00265706459121284,Activated
BSPRY,ENSG00000119411,-0.277057627266072,0.175558248010486,-0.871986170334155,2.85313232041034e-09,Repressed
BTD,ENSG00000169814,-0.203546638221972,0.344787679479604,-0.880836512697881,6.06977427335248e-07,Repressed
BTN2A1,ENSG00000112763,-0.154366407511062,0.625015014351677,-0.522280560306613,0.0027949679960015,Repressed
C11orf68,ENSG00000175573,-0.299638264338089,0.114800031624601,-0.506833058918594,0.00194822525897412,Repressed
C17orf58,ENSG00000186665,-0.30850809679068,0.127440268337523,-0.677455992727539,3.01443977911199e-05,Repressed
C1GALT1C1,ENSG00000171155,0.224352247818457,0.287630728653369,-0.501619689641497,0.0027949679960015,Repressed
C1orf115,ENSG00000162817,-0.359182974630166,0.14343755191094,-0.83890647483021,2.15788735336398e-05,Repressed
C1orf56,ENSG00000143443,0.144829771494455,0.564717949278865,0.868752325806636,1.03178457095455e-06,Activated
CBX6,ENSG00000183741,0.00426989779484108,0.978520756607648,0.79091677310392,5.69696936457706e-07,Activated
CCDC88A,ENSG00000115355,0.305085194482432,0.226467619120815,0.513588162569657,0.00622655801978782,Activated
CCNB1,ENSG00000134057,-0.386222338578874,0.144051685025159,-0.695356687099387,0.00408652834419702,Repressed
CCNDBP1,ENSG00000166946,-0.331224055986882,0.107528092861105,-0.852703246749745,2.21398767670564e-07,Repressed
CCNG1,ENSG00000113328,-0.303433377660959,0.111084457482768,-0.87561492710579,8.73703087215211e-09,Repressed
CCP110,ENSG00000103540,0.128280586934478,0.722800378091562,0.571352528974769,0.00138495192240934,Activated
CD58,ENSG00000116815,-0.118993577878762,0.649008222205629,-0.612150047333939,0.000706095051651303,Repressed
CDCA7L,ENSG00000164649,0.235011096146124,0.255957978253417,0.58399777957403,0.000387508596562751,Activated
CDH3,ENSG00000062038,-0.184140838569523,0.395844873087422,-0.600437568113858,0.000378852559552672,Repressed
CELF2,ENSG00000048740,0.352401965283401,0.142050100336323,-0.985471031485921,4.37405457212018e-07,Repressed
CFB,ENSG00000243649,-0.108286254092307,0.663894451524571,0.841761204866353,9.84004335322436e-06,Activated
CHD7,ENSG00000171316,0.153997836199483,0.468032654383594,0.955897900754236,4.27745059234334e-10,Activated
CHDH,ENSG00000016391,0.0358960335622944,0.898888359203271,-0.570463526580892,0.00172666531089555,Repressed
CHI3L1,ENSG00000133048,0.0104212201532666,0.980853735931246,-0.784832814381273,0.00348995967572233,Repressed
