gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
AAMDC,0.0474048049436038,7.4615585943925,1.28577344139038,0.25688527203901,0.295961110754503,ENSG00000087884,0.828976939068149,7.14605304170548,298.38653483848,1.96164531196513e-64,1.49068132973902e-63,ENSG00000087884,NA,NA,3,NA,3,3,2,NA,unkn,TRUE,0,0
ABHD13,0.0613899527312137,7.03618040364668,1.60877834452209,0.209002784571796,0.244988887224052,ENSG00000139826,0.799224835363152,6.70760405032228,202.800227793364,2.73054169949805e-41,1.24230839128131e-40,ENSG00000139826,NA,NA,NA,2,2,2,2,4,unkn,TRUE,0,0
ABHD17A,0.0533497792060415,7.4155507486484,1.74004328008346,0.187196631692644,0.221290560251542,ENSG00000129968,0.579623783378681,7.13024178098419,165.397136804529,4.363485080065e-37,1.77526712218952e-36,ENSG00000129968,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
ABHD2,-0.0269901208475736,7.18267978039206,0.345191195745944,0.556875779676346,0.600016151132954,ENSG00000140526,0.984296921130044,6.83470301811829,313.718492254527,1.58623933547038e-67,1.28773903995439e-66,ENSG00000140526,NA,NA,NA,NA,3,3,3,NA,unkn,FALSE,0,0
AC118549.1,-0.0551427499925382,7.40474102699079,1.77744235377174,0.182527341717601,0.216357468409468,ENSG00000036549,0.772226143038345,7.07336091121242,246.196486682001,8.12840972038217e-54,4.91889691202532e-53,ENSG00000036549,4,4,NA,3,3,3,3,4,cis,FALSE,Activated cis,darkred
AC139887.2,-0.0801497540756501,7.137183068634,2.59641632104654,0.107171785636594,0.131642145140748,ENSG00000249592,0.904057437546269,6.78582125064452,242.652909621432,4.32637876671591e-53,2.57682627220275e-52,ENSG00000249592,NA,NA,3,3,3,3,2,3,unkn,FALSE,0,0
ACADM,-0.0390696313153788,7.88813420325516,1.55502566535681,0.212456244184812,0.248659105588853,ENSG00000117054,0.610352782357543,7.60051140862981,283.157143717715,2.37754590644893e-61,1.68337888878292e-60,ENSG00000117054,4,4,NA,3,3,3,3,4,cis,FALSE,Activated cis,darkred
ACSF3,-0.0301459900162405,7.02645296707191,0.397697434233036,0.528310997459894,0.572251315891965,ENSG00000176715,0.520847979663657,6.7064737839343,84.0660063860954,3.22717632401907e-18,7.60799446299838e-18,ENSG00000176715,NA,3,NA,2,3,3,2,NA,unkn,FALSE,0,0
ACVR2A,-0.0482430606356496,7.01773974316436,0.933657097844724,0.333963393095483,0.377222899973136,ENSG00000121989,0.506372210035241,6.69664099303412,79.4535262687311,2.50575029244035e-17,5.74839006580655e-17,ENSG00000121989,NA,NA,3,3,3,3,3,NA,unkn,FALSE,0,0
ADAM11,-0.0420698856075621,6.95080220493119,0.770115520692547,0.435629765128028,0.481005867067151,ENSG00000073670,0.760470641368788,6.61154530809658,194.89976549643,6.88702965626923e-31,2.36222437431958e-30,ENSG00000073670,4,NA,3,3,3,3,3,NA,cis,FALSE,Activated cis,darkred
ADCK2,-0.079100263127053,7.05636559663581,2.6287437779537,0.10501077794204,0.129271799803925,ENSG00000133597,0.835450423227437,6.7112010431218,214.50780007302,2.90570201686905e-44,1.43160297785006e-43,ENSG00000133597,NA,3,3,2,2,2,2,3,unkn,FALSE,0,0
ADNP,0.00885357288066178,7.92995736868717,0.0768509704567857,0.7816231323116,0.81022691048913,ENSG00000101126,0.902535748493243,7.60537735776931,578.227658834572,4.31129486256051e-119,7.84937642963253e-118,ENSG00000101126,4,4,NA,3,3,3,2,4,cis,TRUE,Activated cis,darkred
AGO2,0.0557564570045378,7.39295935405932,1.74394154069601,0.186703507627135,0.220785704538315,ENSG00000123908,1.26702567966973,7.03241897821757,612.493708591223,1.53704795339763e-125,3.09693204781717e-124,ENSG00000123908,2,2,2,1,4,NA,1,2,cis,TRUE,Activated cis,darkred
AGO4,0.0821685394008936,6.94113280663922,2.89583661398396,0.13516511613232,0.163561697185339,ENSG00000134698,0.766851759385368,6.61069324634612,194.327168410144,1.14311612157296e-31,4.00128469027092e-31,ENSG00000134698,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
AKAP13,0.0127327655070411,7.43842029420363,0.0911565751173079,0.762725083296268,0.792848257001656,ENSG00000170776,1.16102967804831,7.07713006861624,505.253706925455,3.44929796025822e-105,5.11734555730875e-104,ENSG00000170776,NA,NA,NA,NA,2,2,2,NA,unkn,TRUE,0,0
AKR7A2,0.011539302217068,7.59826888652945,0.10389040646086,0.747224138742776,0.778996118443971,ENSG00000053371,0.964140669276699,7.26063759529568,481.800721342047,1.13945163384954e-100,1.59012129061484e-99,ENSG00000053371,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
AKT3,0.0503408606613076,7.23175357964484,1.17560705446098,0.278306902790825,0.31866426366595,ENSG00000117020,-0.579898248252325,7.1125507037161,160.887174242041,3.84342191947694e-36,1.53071223886397e-35,ENSG00000117020,NA,NA,NA,4,4,4,4,3,unkn,FALSE,0,0
ALCAM,0.0736266757378498,6.98895388569377,2.02930557358954,0.201277198547626,0.236624589335942,ENSG00000170017,0.866841729945357,6.65596692787078,220.943635854801,6.59092341298322e-43,3.1320210180834e-42,ENSG00000170017,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
ALG1,-0.000303977116950278,6.90809960239923,8.09189633076518e-06,0.997730438897175,0.999067062976705,ENSG00000033011,-0.521557714637044,6.65242574353603,96.1784474950665,5.3778165852421e-18,1.25938773165134e-17,ENSG00000033011,2,2,NA,3,3,3,3,2,cis,TRUE,Repressed cis,deepskyblue4
ALG9,-0.0782091436572149,6.98020717956145,2.48700068214527,0.161099264437879,0.192482238029674,ENSG00000086848,0.630676596291693,6.64552140858269,126.851332845816,2.45916832014058e-23,6.8025843332759e-23,ENSG00000086848,NA,NA,NA,NA,5,5,4,NA,unkn,FALSE,0,0
ALS2,0.0198208511842737,6.93641709670163,0.182891778512769,0.690977839108597,0.726642587453294,ENSG00000003393,0.551062335954367,6.61143309303896,101.490749420052,3.84028957006417e-17,8.76053117794669e-17,ENSG00000003393,NA,3,3,3,3,3,3,3,unkn,TRUE,0,0
ANKRD9,0.00422987116984721,7.0462303633278,0.00740054366425797,0.931449029727209,0.942444846141101,ENSG00000156381,0.784773568765519,6.71296299007882,186.496065697343,5.33387786737551e-40,2.34601913019119e-39,ENSG00000156381,2,NA,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
ANKS1A,0.0133822159443509,7.22679666627885,0.0852453864102275,0.770323685764623,0.799752140060838,ENSG00000064999,0.851416319824443,6.8946463163176,256.875733471471,5.31834156038431e-56,3.3890010256473e-55,ENSG00000064999,NA,NA,NA,NA,4,4,4,5,unkn,TRUE,0,0
ANKZF1,-0.0234378796532087,7.07578282656134,0.214588683671285,0.644205463929778,0.683390711127453,ENSG00000163516,0.863424428015201,6.73436489977958,219.355735259135,2.67266956187282e-48,1.44537314036251e-47,ENSG00000163516,NA,3,3,3,3,3,3,3,unkn,FALSE,0,0
AP2M1,0.0220616404020692,8.27514150140148,0.736704596293886,0.390761668620253,0.435250251352205,ENSG00000161203,0.762898574474225,7.98793127924199,597.642252567284,9.44277680593617e-123,1.81280749642818e-121,ENSG00000161203,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
AP3M2,0.0521802653423819,7.35452580600294,1.49280651766137,0.221841871195221,0.258437533032723,ENSG00000070718,1.08531817279539,7.00974961617726,446.232712699408,9.08114088388707e-94,1.14767393392781e-92,ENSG00000070718,NA,NA,NA,2,2,2,2,NA,unkn,TRUE,0,0
APPBP2,0.0614016897552096,7.31669223625632,1.96406031284352,0.161144769718371,0.192513670566574,ENSG00000062725,0.789454375607719,7.00118490184707,243.177985510929,3.37666448926729e-53,2.01457174097402e-52,ENSG00000062725,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
ARF5,-0.030781066054644,7.98609824787858,1.08096696729858,0.298534011202264,0.339961283708415,ENSG00000004059,2.29519568628084,7.4941874894554,2914.5049070919,0,0,ENSG00000004059,3,3,NA,2,2,2,2,3,cis,FALSE,Activated cis,darkred
ARFGAP1,0.00672072404271395,7.12824877490011,0.0155442574642245,0.965285827318015,0.971583486534684,ENSG00000101199,0.628549952284491,6.81098030872297,132.85508108285,3.06096794677201e-30,1.03183298090995e-29,ENSG00000101199,NA,4,NA,3,3,3,2,4,unkn,TRUE,0,0
ARFGAP2,-0.0239722144054826,7.48104236925572,0.365307137355757,0.545602191959103,0.589198662606707,ENSG00000149182,1.26012714007958,7.10325296992761,658.861924517561,3.47799781954831e-134,7.98053382541909e-133,ENSG00000149182,3,NA,NA,3,3,3,2,NA,cis,FALSE,Activated cis,darkred
ARFGEF3,0.0843456857888266,7.07771016964771,2.80930196313719,0.0938080169733841,0.11626582551095,ENSG00000112379,1.0079042753151,6.74050702071826,296.134167991297,5.59636174741647e-64,4.19846202582776e-63,ENSG00000112379,NA,NA,3,3,3,3,4,NA,unkn,TRUE,0,0
ARPC1A,0.0229494622215308,8.29500456169094,0.843211760129286,0.358526225058656,0.402248935431663,ENSG00000241685,0.844750575605217,7.99300617321935,804.218109757346,1.03263791269952e-160,3.231728946904e-159,ENSG00000241685,3,3,3,2,2,2,2,3,cis,TRUE,Activated cis,darkred
ASL,0.0698694431385578,6.98627945328878,2.03285654729765,0.176879510022675,0.210085008469429,ENSG00000126522,0.863031823287894,6.65272926634289,236.625478807994,5.41044935954166e-43,2.57568556819225e-42,ENSG00000126522,3,3,NA,2,2,2,2,3,cis,TRUE,Activated cis,darkred
ASNS,0.0641157716208317,7.16963770737413,1.75061267554723,0.185863118705996,0.219895733255779,ENSG00000070669,0.744092738473657,6.85164898043314,170.749600918823,3.31145192525874e-38,1.39057318242902e-37,ENSG00000070669,3,3,3,2,2,2,2,3,cis,TRUE,Activated cis,darkred
ASPSCR1,0.0100484071181366,7.60317878624845,0.076503417922138,0.782104992854739,0.8106407099067,ENSG00000169696,0.920768506591587,7.27031447169646,449.629891297226,1.97895952047496e-94,2.52514279946732e-93,ENSG00000169696,NA,NA,3,3,3,3,NA,NA,unkn,TRUE,0,0
ATAD2,0.0367114584592826,7.52840840138022,0.52431893414434,0.469040634152927,0.514216626138139,ENSG00000156802,1.45289795280707,7.14707240090147,548.185917603213,2.13623381830662e-113,3.55859548504685e-112,ENSG00000156802,2,2,2,1,4,NA,1,2,cis,TRUE,Activated cis,darkred
ATAD3A,0.0538921189204613,7.31225768079163,1.53639153230578,0.215216669092585,0.251508304120783,ENSG00000197785,0.508887919312497,7.02929031987223,108.77122729596,3.95033724054914e-25,1.15848814334707e-24,ENSG00000197785,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
ATG16L2,0.096632099305123,6.90378774180676,4.30605626791769,0.10134526029525,0.125051097605607,ENSG00000168010,0.719539956097925,6.57411516119182,192.923570265652,9.71464222261486e-27,2.96826936541941e-26,ENSG00000168010,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
ATG4C,0.0758790112848048,6.86692608582484,3.3636866569829,0.198952142768061,0.234028397381597,ENSG00000125703,-0.944376368810737,6.63846260936769,328.614892286228,5.64764685837329e-52,3.2860730730403e-51,ENSG00000125703,1,1,2,2,2,2,2,1,cis,FALSE,Repressed cis,deepskyblue4
ATP1B3,-0.0172605244088084,7.57405344632841,0.213319266056184,0.644199196945117,0.683390711127453,ENSG00000069849,-0.77915422920926,7.59417920501993,501.214704438288,2.06154601277404e-104,3.00786672043087e-103,ENSG00000069849,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
ATP5F1E,0.0138568301457039,9.94745149919163,0.854673599470758,0.372783585458779,0.416938857347829,ENSG00000124172,-0.527987674648942,10.1274974994432,1177.27011062534,3.95532842977253e-225,2.35053169270414e-223,ENSG00000124172,4,4,NA,3,3,3,2,4,cis,FALSE,Repressed cis,deepskyblue4
ATP6AP1,-0.058903436520359,7.11721780015529,1.55976161249607,0.211761386435591,0.247903710387124,ENSG00000071553,0.539314640375469,6.7994299165714,95.9259179884907,2.18380840943349e-22,5.87047658322425e-22,ENSG00000071553,1,1,1,1,1,1,1,1,trans,FALSE,Activated trans,coral2
ATP6V0E2,0.019919897132104,7.55995954195466,0.278179628978603,0.597921360458446,0.63929581007328,ENSG00000171130,0.960654213176301,7.22427769519208,453.999525543338,2.7932403640182e-95,3.5945129647913e-94,ENSG00000171130,NA,3,3,2,3,2,2,3,unkn,TRUE,0,0
AUH,0.0249177601511761,6.97293870983046,0.248399680306301,0.661513958019611,0.699907063242333,ENSG00000148090,0.90897784033795,6.63232517972673,262.792573079729,1.20719509821445e-44,5.99798485153237e-44,ENSG00000148090,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
AURKA,-0.00700650182006928,7.73343460286533,0.0110126229738646,0.916426999567059,0.92921435304939,ENSG00000087586,0.80431524432655,7.41916027453252,142.900948581166,2.31949550360773e-32,8.30027856466935e-32,ENSG00000087586,4,4,NA,3,3,3,2,4,cis,FALSE,Activated cis,darkred
BAG1,-0.00474913132575838,7.44477808601774,0.0157427630798044,0.900156625885152,0.914844496237591,ENSG00000107262,0.609438201416624,7.14598612209269,171.0104291938,2.92074004894271e-38,1.22894145734749e-37,ENSG00000107262,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
BAG5,-0.00293390142620899,7.31401569984267,0.00378374791501853,0.950953892839924,0.958766715973834,ENSG00000166170,0.610510030022163,7.00722707932998,139.391858249089,1.27453790290721e-31,4.45393522859349e-31,ENSG00000166170,2,NA,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
BBS9,-0.0511315478848247,6.93927224380228,1.10890002212711,0.38727683728454,0.431656343702275,ENSG00000122507,0.524940704710107,6.61068428265394,93.3793894845194,7.84775920294012e-16,1.70880191125362e-15,ENSG00000122507,NA,4,4,4,4,4,NA,4,unkn,FALSE,0,0
BCAR1,0.0772180010402986,6.99333611512133,2.4336243181549,0.147573907851611,0.177400041708937,ENSG00000050820,0.513790929296987,6.68150144357341,83.945915732783,3.00531308104818e-17,6.87504363566773e-17,ENSG00000050820,3,3,NA,2,3,3,2,2,cis,TRUE,Activated cis,darkred
BCOR,-0.0748744126617328,7.09261726200505,2.23608469623342,0.134888103802366,0.163246186933397,ENSG00000183337,0.63538727496294,6.76229080778375,123.112731071989,3.53613746750304e-28,1.12429402258032e-27,ENSG00000183337,NA,NA,5,NA,6,NA,NA,NA,unkn,FALSE,0,0
BCR,-0.0149879207078674,6.89639578337882,0.0932611690952481,0.838047273100608,0.85903486197004,ENSG00000186716,-0.526742015545143,6.63630948131401,95.4396880905503,1.21426131110708e-16,2.71955455195653e-16,ENSG00000186716,2,2,2,2,2,2,2,1,trans,TRUE,Repressed trans,deepskyblue
BEND6,-0.0193681555617017,7.04793758498064,0.145367771452482,0.703018952312813,0.737666009604781,ENSG00000151917,0.613601550061173,6.72340711422628,109.397509623588,2.90553218416104e-25,8.54929609014061e-25,ENSG00000151917,6,NA,NA,NA,5,5,5,5,cis,FALSE,Activated cis,darkred
BICRAL,0.0125934947372709,6.94181461415757,0.0668045252054047,0.8275939229678,0.849895866057539,ENSG00000112624,0.665393779400747,6.6119218309945,150.184155277259,9.65319259210243e-25,2.7952770665004e-24,ENSG00000112624,6,NA,NA,NA,NA,NA,NA,NA,unkn,TRUE,0,0
