"","letters","mean_s"
"1","B",0.00430564382431363
"2","D",0.00457385564421455
"3","G",0.0174873646640607
"4","F",0.0254687965394896
"5","H",0.0268775144341308
"6","A",0.0287850561665732
"7","E",0.0788464533194007
