"","letters","mean_s"
"1","B",-0.0405833819595792
"2","D",-0.0370354827100449
"3","G",0.0387697572028027
"4","H",0.0529474995666953
"5","E",0.0737113086614441
"6","F",0.0968547743801698
"7","A",NA
