label,datasetname,sample_id,purity,initial_shrink
p53-/- a,SA906a,SA906_p11a,0.4,10
p53-/- a,SA906a,SA906_p57a,0.4,10
p53-/- b,SA906b,SA906_p15b,0.4,10
p53-/- b,SA906b,SA906_p50b,0.4,10
TNBC-SA609,SA609,SA609X5XB03223,0.4,0
TNBC-SA610,SA609,SA609X7XB03554,0.4,0
TNBC-SA1035,SA1035,SA1035X7XB03502,0.4,0
TNBC-SA1035,SA1035,SA1035X8XB03631,0.4,0
others,others,others,0.6,0
